name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
Schreck 31.,9866839,Astra 💫 Australis,20187,20077577,750,SpaceAgeSpaceHub,9142818720,1532081
Pitty die Einzigartige,9052762,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,26300587,767,SpaceAgeSpaceHub,8600321193,1453189
MichTo,4087524,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,20851516,1000,SpaceAgeSpaceHub,8530986335,1649353
Ronzel66,4025760,Force of Nature,21629,9474168,189,SpaceAgeSpaceHub,8435808548,1082038
Shioban,8647643,Outsiders,343,10591747,314,SpaceAgeSpaceHub,8055384123,1149862
Diora,7970148,🥇 Neuaufsteher 🥇,12806,17328015,572,SpaceAgeSpaceHub,7721740735,1044653
Alcina,2134567,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4776790,240,SpaceAgeSpaceHub,7703647790,1650313
Lord 300,849847657,Outsiders,343,9830458,319,SpaceAgeSpaceHub,7652340202,1160222
Waranus,3990889,Outsiders,343,5141914,202,SpaceAgeSpaceHub,7527194589,1642582
Sir Kiran,4378638,🐉DragonRocker🏴‍☠️,7226,16822547,752,SpaceAgeSpaceHub,7486219334,1401744
Scofield 47,2485748,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,21875894,681,SpaceAgeSpaceHub,7436651091,1179100
Trotha,5853737,Outsiders,343,13419787,525,SpaceAgeSpaceHub,7432662028,1410782
Müsli x,7784860,Die Flitzpiepen 🦄,20795,13716193,894,SpaceAgeSpaceHub,7372698558,1447853
Frankyboy1801,5864888,FunFighters,3537,11175232,711,SpaceAgeSpaceHub,7333212135,1254111
oO AntaresAngel Oo,4087205,Outsiders,343,18935875,864,SpaceAgeSpaceHub,7113278250,1314053
Hugo Who?,5113380,Outsiders,343,4459110,113,SpaceAgeSpaceHub,7109192615,1238735
Bongo der Kampfhamster,7723206,Outsiders,343,13407738,962,SpaceAgeSpaceHub,7033767281,1203684
The Mighty Bull,5691099,Outsiders,343,22821125,611,SpaceAgeSpaceHub,6980930557,1197013
Muwatallis,8841508,Outsiders,343,6361157,144,SpaceAgeSpaceHub,6660018963,1230536
Gurney Halleck,10354135,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,13621350,422,SpaceAgeSpaceHub,6485006652,1172144
Elise*,8585464,Ohschlafe,25725,10994056,708,SpaceAgeSpaceHub,6464625357,1171985
Epiktet Roma,2351138,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,17389928,663,SpaceAgeSpaceHub,6362075808,929556
Floderix,6067897,Fighting Porcupines,22345,18940018,682,SpaceAgeSpaceHub,6338030154,1014188
Slow,8309922,Kunyaza,21880,0,0,SpaceAgeSpaceHub,6202636900,1453808
ser allisar,2332553,Black Phönix,17642,7082383,747,SpaceAgeSpaceHub,6188625672,1265883
ArKa 74,2343149,🥇 Neuaufsteher 🥇,12806,21713436,1226,SpaceAgeSpaceHub,6139087649,1044024
Lennart1909,2482567,Outsiders,343,1920029,36,SpaceAgeSpaceHub,5942875624,967499
Rasasgul123,8510767,🥇 Neuaufsteher 🥇,12806,19132335,683,SpaceAgeSpaceHub,5895680851,1197956
Elektra 1,6359913,🥇 Neuaufsteher 🥇,12806,26550274,863,SpaceAgeSpaceHub,5890925473,866269
Zoryc,5170413,Weisse Rose,6843,18351984,803,SpaceAgeSpaceHub,5890460123,1101811
Stony3,9832738,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,26734297,863,SpaceAgeSpaceHub,5836024296,872568
Teldus,3235403,🥇 Neuaufsteher 🥇,12806,11562865,525,SpaceAgeSpaceHub,5834269605,1070328
*Grobi*,9718409,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,10184934,796,SpaceAgeSpaceHub,5820797061,1219037
mima 777,2592688,Black Phönix,17642,31696412,677,SpaceAgeSpaceHub,5815569685,758409
man of doom,7086434,Outsiders,343,5411003,232,SpaceAgeSpaceHub,5787739509,1020604
Al Skully,2747949,🥇 Neuaufsteher 🥇,12806,13372848,621,SpaceAgeSpaceHub,5741980087,1003577
Merlin-der-Große,851292873,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,5061523,27,SpaceAgeSpaceHub,5701507735,870870
Kjea9999,6594909,ρℓαуιηg αηgєℓѕ,92,11964787,362,SpaceAgeSpaceHub,5688548059,984734
Foe-Bug,10192307,Black Phönix,17642,14920563,856,SpaceAgeSpaceHub,5688190863,879845
Sigmund-Freud,10204207,Enterprise,877,5090765,441,SpaceAgeSpaceHub,5685889645,1054936
Galtonell,29011,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,15675097,877,SpaceAgeSpaceHub,5674405954,1007284
cocochanel111,5857719,Offshore,22974,20466585,691,SpaceAgeSpaceHub,5670313532,1035610
Volti78,7278995,Rising Crown,3780,3322570,125,SpaceAgeSpaceHub,5662968067,942333
Helena 156 die Zornige,2973196,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,15648058,594,SpaceAgeSpaceHub,5650990899,929276
tennistom,2545769,Outsiders,343,3871860,127,SpaceAgeSpaceHub,5591805053,1165398
Kaputing,850286825,mehr Klima der FOE,25787,3537780,14,SpaceAgeSpaceHub,5580771169,733927
.clumsy.,5472893,Outsiders,343,15542443,714,SpaceAgeSpaceHub,5570320245,886621
Nobby Nobbs,6841621,🥇 Neuaufsteher 🥇,12806,19894954,744,SpaceAgeSpaceHub,5544127200,868573
Wutzel der Erste,850142218,ZzzZzz,25679,6396090,667,SpaceAgeSpaceHub,5542896636,1064564
Theodora.,5225612,🔥 Feuersterne ⭐️,13890,6449505,670,SpaceAgeSpaceHub,5486450060,1162888
HojeFX,8931520,Die Flitzpiepen 🦄,20795,15867040,686,SpaceAgeSpaceHub,5444471987,1037199
Sir-Thor,8922976,Kommune,5397,26690660,1009,SpaceAgeSpaceHub,5427486737,1050258
Shady Lady,849816641,🐉DragonRocker🏴‍☠️,7226,22492507,716,SpaceAgeSpaceHub,5377254265,952603
Jörg123,9454299,🥇 Neuaufsteher 🥇,12806,7586109,305,SpaceAgeSpaceHub,5355307212,839197
Spira the Wolf,6924426,Only Ronin`s,17616,0,0,SpaceAgeSpaceHub,5335581418,851981
AngelDevil01,2947128,Kommune,5397,4402962,109,SpaceAgeSpaceHub,5333003985,686694
Emilly10,10465529,Outsiders,343,11979492,435,SpaceAgeSpaceHub,5330184033,953759
Casti 76,5806455,ρℓαуιηg αηgєℓѕ,92,20967522,686,SpaceAgeSpaceHub,5325304075,794343
John Wick7,849691634,🥇 Neuaufsteher 🥇,12806,15645487,607,SpaceAgeSpaceHub,5316401401,1003325
OhMaik,10031001,nur so,3050,9438263,786,SpaceAgeSpaceHub,5295211420,978855
Junikus,3097261,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,21002837,553,SpaceAgeSpaceHub,5285402980,884809
Fürst Ottokar der Kluge,6579580,Dragon Riders,159,10985080,386,SpaceAgeSpaceHub,5274875573,878315
kyni,850744953,ρℓαуιηg αηgєℓѕ,92,14045031,534,SpaceAgeSpaceHub,5273231632,1069269
Bethere,851269267,Outsiders,343,7503852,199,SpaceAgeSpaceHub,5236619199,772269
Caputo,9566185,RELIC HUNTERS,2803,34700021,1098,SpaceAgeSpaceHub,5227597455,754366
Opa Rocky,2327684,🥇 Neuaufsteher 🥇,12806,20021641,607,SpaceAgeSpaceHub,5212288661,898133
Beagle1407,3526107,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,8892516,955,SpaceAgeSpaceHub,5210182829,1004940
Spielender Wahnsinn,6145509,Outsiders,343,5825406,284,SpaceAgeSpaceHub,5208412861,1151802
Loonasdad85,8859450,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,14311030,609,SpaceAgeTitan,5184888426,978792
Mellow 667,3493138,Rising Crown,3780,13084086,714,SpaceAgeSpaceHub,5143868879,1023623
Eldo,8903385,Die Spartiaten,12599,423891,51,SpaceAgeSpaceHub,5125248020,779286
Bx12,6165950,🥇 Neuaufsteher 🥇,12806,5080855,168,SpaceAgeSpaceHub,5121688501,924519
Leopold 365 der Düstere,5456304,Outsiders,343,12471292,471,SpaceAgeSpaceHub,5085978592,688133
Hilfreiche,849702172,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,22568454,745,SpaceAgeSpaceHub,5017358527,650765
DevilCat,5960940,☠️Nightmare☠️,24477,16754123,625,SpaceAgeSpaceHub,4990027921,708310
Kultbaer,9947792,Rising Island 🏝,8070,20414729,770,SpaceAgeSpaceHub,4983423677,782192
Amazone Artep,8068162,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,14847362,205,SpaceAgeSpaceHub,4979597271,615452
Pikulite,849917843,Die Arbeiter,635,12651802,431,SpaceAgeSpaceHub,4975387898,838362
PT-JR,852816370,Outsiders,343,4860933,99,SpaceAgeSpaceHub,4970646970,493821
-Rosa-,7213729,🐉DragonRocker🏴‍☠️,7226,10801767,459,SpaceAgeSpaceHub,4947197731,875645
BoneBreaker,5462431,☠️Nightmare☠️,24477,18428072,596,SpaceAgeSpaceHub,4920966769,750021
Aga.,2347921,Kommune,5397,13451555,495,SpaceAgeSpaceHub,4893450969,913349
Gustavo Fring,849775006,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,9621329,349,SpaceAgeSpaceHub,4879683470,1069937
Thorana,10332279,🥇 Neuaufsteher 🥇,12806,15733443,720,SpaceAgeSpaceHub,4878241113,878839
Cäsar 222,8615598,Outsiders,343,12756275,599,SpaceAgeSpaceHub,4864366619,1015088
Tiberius aus dem Norden,9365260,Outsiders,343,11070535,663,SpaceAgeSpaceHub,4803058756,901234
Kalliope die I,852303901,Only Ronin`s,17616,25553004,1202,SpaceAgeSpaceHub,4761616946,602669
Patrones,6746433,FunFighters,3537,3583112,484,SpaceAgeSpaceHub,4748684819,907694
Ani01,8822554,Weisse Rose,6843,10765369,727,SpaceAgeSpaceHub,4703558045,936435
PlatzdaFlash,5896051,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,13420463,329,SpaceAgeSpaceHub,4684220520,759511
amazonasmaus,5990149,🐉DragonRocker🏴‍☠️,7226,5778209,199,SpaceAgeSpaceHub,4667430113,800918
Remus von Populonia,9624623,Die Flitzpiepen 🦄,20795,14764292,391,SpaceAgeSpaceHub,4663429254,759500
TKR501,3825023,Only Ronin`s,17616,17945684,906,SpaceAgeSpaceHub,4628927778,738113
Katharina die Grosse 4,2617153,ρℓαуιηg αηgєℓѕ,92,20435081,1057,SpaceAgeSpaceHub,4610975458,810994
fraxel,5446031,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,12021931,435,SpaceAgeSpaceHub,4598019248,868006
CaliBero,8588143,🥇 Neuaufsteher 🥇,12806,15440315,507,SpaceAgeSpaceHub,4591365753,823821
Brutuspumbernickelbert,2352343,Foe Pause,25678,15571119,546,SpaceAgeSpaceHub,4566036117,925829
Kolovrat,7782453,🥇 Neuaufsteher 🥇,12806,12448853,621,SpaceAgeSpaceHub,4551395815,876485
Leonidas09,3084698,Kommune,5397,9767463,374,SpaceAgeSpaceHub,4537084604,634844
Agrippa 727 der Tapfere,9542421,nur so,3050,14807555,695,SpaceAgeSpaceHub,4505358254,961763
vitya,4578438,,,0,0,SpaceAgeTitan,4484871271,1231836
Det Medwed,3073300,Fluffige Mammuts🦣🦣,7139,2325476,223,SpaceAgeSpaceHub,4480907278,985195
Battle Cat 75,9253191,FunFighters,3537,9350518,285,SpaceAgeSpaceHub,4474450896,707590
Gilgamesch ForgottenOne,9484155,Die Fantastischen 3,13797,25130348,906,SpaceAgeSpaceHub,4460895452,984782
mo1973,7142904,Knights of Asgard,6,6050954,116,SpaceAgeSpaceHub,4460189777,979938
Grauer Wurm,5773738,Die Flitzpiepen 🦄,20795,8800174,505,SpaceAgeSpaceHub,4449793898,806881
Hans der 3,8844497,🕊 Grenzgänger 🕊,12219,7558418,782,SpaceAgeSpaceHub,4445543680,756721
Anastasius 78,6458932,Abstellgleis 2,25514,7145599,621,SpaceAgeSpaceHub,4442216189,864707
leon 288,7445549,MMM,25147,10167674,326,SpaceAgeSpaceHub,4422431628,591622
Xx.LEO.xX,7313397,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,13713547,524,SpaceAgeSpaceHub,4417944867,787091
oZZiploZZi,6352671,Outsiders,343,10041344,531,SpaceAgeSpaceHub,4408625991,675573
AbueloKlaus,7689698,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,12283239,442,SpaceAgeSpaceHub,4405925060,755083
belladonna 66,8642092,Fluffige Mammuts🦣🦣,7139,13995010,499,SpaceAgeSpaceHub,4389045530,671786
TRISTESSE,7955197,Yggdrasil,10153,11387123,1225,SpaceAgeSpaceHub,4375621866,801666
wattwurm66,4316785,Die Flitzpiepen 🦄,20795,7851055,832,SpaceAgeSpaceHub,4370691014,942930
asqw1,2233782,Rising Crown,3780,7761376,276,SpaceAgeSpaceHub,4366447552,855990
LFCDOC der Unbarmherzige,5697281,🥇 Neuaufsteher 🥇,12806,21984995,902,SpaceAgeSpaceHub,4358687318,1070913
Zewam,2711028,Expendables & Falken,8004,0,0,SpaceAgeSpaceHub,4348802364,1265106
Icebreaker1971,2820222,🧊Ice Gilde🧊,6289,0,0,SpaceAgeSpaceHub,4328265946,770922
Deadpoolli,3822489,Die Flitzpiepen 🦄,20795,6663495,685,SpaceAgeSpaceHub,4325790558,791560
