name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
Schreck 31.,9866839,Astra 💫 Australis,20187,13414803,862,SpaceAgeSpaceHub,9122741143,1531331
Pitty die Einzigartige,9052762,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,23628996,998,SpaceAgeSpaceHub,8574020606,1452422
MichTo,4087524,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,13048525,673,SpaceAgeSpaceHub,8510134819,1648353
Ronzel66,4025760,Force of Nature,21629,10474764,448,SpaceAgeSpaceHub,8426334380,1081849
Shioban,8647643,Outsiders,343,17667748,501,SpaceAgeSpaceHub,8044792376,1149548
Diora,7970148,🥇 Neuaufsteher 🥇,12806,17095658,898,SpaceAgeSpaceHub,7704412720,1044081
Alcina,2134567,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,15672686,1111,SpaceAgeSpaceHub,7698871000,1650073
Lord 300,849847657,Outsiders,343,30286609,919,SpaceAgeSpaceHub,7642509744,1159903
Waranus,3990889,Outsiders,343,11429740,612,SpaceAgeSpaceHub,7522052675,1642380
Sir Kiran,4378638,🐉DragonRocker🏴‍☠️,7226,19576448,633,SpaceAgeSpaceHub,7469396787,1400992
Trotha,5853737,Outsiders,343,16694239,567,SpaceAgeSpaceHub,7419242241,1410257
Scofield 47,2485748,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,18737003,696,SpaceAgeSpaceHub,7414775197,1178419
Müsli x,7784860,Die Flitzpiepen 🦄,20795,11377173,1011,SpaceAgeSpaceHub,7358982365,1446959
Frankyboy1801,5864888,FunFighters,3537,11562771,842,SpaceAgeSpaceHub,7322036903,1253400
Hugo Who?,5113380,Outsiders,343,9289747,851,SpaceAgeSpaceHub,7104733505,1238622
oO AntaresAngel Oo,4087205,Outsiders,343,41839284,1021,SpaceAgeSpaceHub,7094342375,1313189
Bongo der Kampfhamster,7723206,Outsiders,343,15029418,1213,SpaceAgeSpaceHub,7020359543,1202722
The Mighty Bull,5691099,Outsiders,343,13013090,822,SpaceAgeSpaceHub,6958109432,1196402
Muwatallis,8841508,Outsiders,343,12409370,512,SpaceAgeSpaceHub,6653657806,1230392
Gurney Halleck,10354135,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,16966739,620,SpaceAgeSpaceHub,6471385302,1171722
Schwanenkönigin,8585464,Ohschlafe,25725,14488433,763,SpaceAgeSpaceHub,6453631301,1171277
Epiktet Roma,2351138,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,18975084,907,SpaceAgeSpaceHub,6344685880,928893
Floderix,6067897,Fighting Porcupines,22345,19370770,667,SpaceAgeSpaceHub,6319090136,1013506
Slow,8309922,Kunyaza,21880,0,0,SpaceAgeSpaceHub,6202636900,1453808
ser allisar,2332553,Black Phönix,17642,7013755,671,SpaceAgeSpaceHub,6181543289,1265136
ArKa 74,2343149,🥇 Neuaufsteher 🥇,12806,15706732,769,SpaceAgeSpaceHub,6117374213,1042798
Lennart1909,2482567,Outsiders,343,16351481,836,SpaceAgeSpaceHub,5940955595,967463
Rasasgul123,8510767,🥇 Neuaufsteher 🥇,12806,10580991,374,SpaceAgeSpaceHub,5876548516,1197273
Zoryc,5170413,Weisse Rose,6843,15403998,594,SpaceAgeSpaceHub,5872108139,1101008
Elektra 1,6359913,🥇 Neuaufsteher 🥇,12806,17481743,652,SpaceAgeSpaceHub,5864375199,865406
Teldus,3235403,🥇 Neuaufsteher 🥇,12806,8997761,445,SpaceAgeSpaceHub,5822706740,1069803
*Grobi*,9718409,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,11711812,1007,SpaceAgeSpaceHub,5810612127,1218241
Stony3,9832738,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,23572668,791,SpaceAgeSpaceHub,5809289999,871705
mima 777,2592688,Black Phönix,17642,19893587,680,SpaceAgeSpaceHub,5783873273,757732
man of doom,7086434,Outsiders,343,11290938,466,SpaceAgeSpaceHub,5782328506,1020372
Al Skully,2747949,🥇 Neuaufsteher 🥇,12806,33004904,557,SpaceAgeSpaceHub,5728607239,1002956
Merlin-der-Große,851292873,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,2492332,161,SpaceAgeSpaceHub,5696446212,870843
Sigmund-Freud,10204207,Enterprise,877,1874773,12,SpaceAgeSpaceHub,5680798880,1054495
Kjea9999,6594909,ρℓαуιηg αηgєℓѕ,92,5236000,286,SpaceAgeSpaceHub,5676583272,984372
Foe-Bug,10192307,Black Phönix,17642,9461415,811,SpaceAgeSpaceHub,5673270300,878989
Volti78,7278995,Rising Crown,3780,3130882,80,SpaceAgeSpaceHub,5659645497,942208
Galtonell,29011,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,20281701,1573,SpaceAgeSpaceHub,5658730857,1006407
cocochanel111,5857719,Offshore,22974,31533571,866,SpaceAgeSpaceHub,5649846947,1034919
Helena 156 die Zornige,2973196,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,18107260,649,SpaceAgeSpaceHub,5635342841,928682
tennistom,2545769,Outsiders,343,13462318,392,SpaceAgeSpaceHub,5587933193,1165271
Kaputing,850286825,mehr Klima der FOE,25787,1201300,53,SpaceAgeSpaceHub,5577233389,733913
.clumsy.,5472893,Outsiders,343,15798536,760,SpaceAgeSpaceHub,5554777802,885907
Wutzel der Erste,850142218,ZzzZzz,25679,9207222,704,SpaceAgeSpaceHub,5536500546,1063897
Nobby Nobbs,6841621,🥇 Neuaufsteher 🥇,12806,17227374,695,SpaceAgeSpaceHub,5524232246,867829
Theodora.,5225612,🔥 Feuersterne ⭐️,13890,12430858,773,SpaceAgeSpaceHub,5480000555,1162218
HojeFX,8931520,Die Flitzpiepen 🦄,20795,8960485,421,SpaceAgeSpaceHub,5428604947,1036513
Sir-Thor,8922976,Kommune,5397,5750942,156,SpaceAgeSpaceHub,5400796077,1049249
Shady Lady,849816641,🐉DragonRocker🏴‍☠️,7226,22342813,845,SpaceAgeSpaceHub,5354761758,951887
Jörg123,9454299,🥇 Neuaufsteher 🥇,12806,7818907,87,SpaceAgeSpaceHub,5347721103,838892
Spira the Wolf,6924426,Only Ronin`s,17616,340170,91,SpaceAgeSpaceHub,5335581418,851981
AngelDevil01,2947128,Kommune,5397,5852418,150,SpaceAgeSpaceHub,5328601023,686585
Emilly10,10465529,Outsiders,343,13722945,459,SpaceAgeSpaceHub,5318204541,953324
Casti 76,5806455,ρℓαуιηg αηgєℓѕ,92,16115729,556,SpaceAgeSpaceHub,5304336553,793657
John Wick7,849691634,🥇 Neuaufsteher 🥇,12806,18028363,647,SpaceAgeSpaceHub,5300755914,1002718
OhMaik,10031001,nur so,3050,8230675,702,SpaceAgeSpaceHub,5285773157,978069
Junikus,3097261,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,9970139,333,SpaceAgeSpaceHub,5264400143,884256
Fürst Ottokar der Kluge,6579580,Dragon Riders,159,21354011,685,SpaceAgeSpaceHub,5263890493,877929
kyni,850744953,ρℓαуιηg αηgєℓѕ,92,21318815,780,SpaceAgeSpaceHub,5259186601,1068735
Bethere,851269267,Outsiders,343,21375013,847,SpaceAgeSpaceHub,5229115347,772070
Spielender Wahnsinn,6145509,Outsiders,343,4096197,333,SpaceAgeSpaceHub,5202587455,1151518
