name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
Schreck 31.,9866839,Astra 💫 Australis,20187,12636612,792,SpaceAgeSpaceHub,9109326340,1530469
Pitty die Einzigartige,9052762,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,23921464,935,SpaceAgeSpaceHub,8550391610,1451424
MichTo,4087524,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,16252559,962,SpaceAgeSpaceHub,8497086294,1647680
Ronzel66,4025760,Force of Nature,21629,12383931,200,SpaceAgeSpaceHub,8415859616,1081401
Shioban,8647643,Outsiders,343,9456322,346,SpaceAgeSpaceHub,8027124628,1149047
Diora,7970148,🥇 Neuaufsteher 🥇,12806,24891502,908,SpaceAgeSpaceHub,7687317062,1043183
Alcina,2134567,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,6942546,330,SpaceAgeSpaceHub,7683198314,1648962
Lord 300,849847657,Outsiders,343,18242407,562,SpaceAgeSpaceHub,7612223135,1158984
Waranus,3990889,Outsiders,343,13058393,527,SpaceAgeSpaceHub,7510622935,1641768
Sir Kiran,4378638,🐉DragonRocker🏴‍☠️,7226,16325503,606,SpaceAgeSpaceHub,7449820339,1400359
Trotha,5853737,Outsiders,343,19162007,588,SpaceAgeSpaceHub,7402548002,1409690
Scofield 47,2485748,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,22009493,761,SpaceAgeSpaceHub,7396038194,1177723
Müsli x,7784860,Die Flitzpiepen 🦄,20795,8455225,841,SpaceAgeSpaceHub,7347605192,1445948
Frankyboy1801,5864888,FunFighters,3537,20407196,573,SpaceAgeSpaceHub,7310474132,1252558
Hugo Who?,5113380,Outsiders,343,10633606,532,SpaceAgeSpaceHub,7095443758,1237771
oO AntaresAngel Oo,4087205,Outsiders,343,8886872,594,SpaceAgeSpaceHub,7052503091,1312168
Bongo der Kampfhamster,7723206,Outsiders,343,19041078,962,SpaceAgeSpaceHub,7005330125,1201509
The Mighty Bull,5691099,Outsiders,343,6999956,308,SpaceAgeSpaceHub,6945096342,1195580
Muwatallis,8841508,Outsiders,343,24047963,629,SpaceAgeSpaceHub,6641248436,1229880
Gurney Halleck,10354135,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,14686865,445,SpaceAgeSpaceHub,6454418563,1171102
Schwanenkönigin,8585464,Ohschlafe,25725,12321128,755,SpaceAgeSpaceHub,6439142868,1170514
Epiktet Roma,2351138,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,29257348,893,SpaceAgeSpaceHub,6325710796,927986
Floderix,6067897,Fighting Porcupines,22345,26939953,819,SpaceAgeSpaceHub,6299719366,1012839
Slow,8309922,Kunyaza,21880,0,0,SpaceAgeSpaceHub,6202636900,1453808
ser allisar,2332553,Black Phönix,17642,10490218,600,SpaceAgeSpaceHub,6174529534,1264465
ArKa 74,2343149,🥇 Neuaufsteher 🥇,12806,16451608,617,SpaceAgeSpaceHub,6101667481,1042029
Lennart1909,2482567,Outsiders,343,18826918,982,SpaceAgeSpaceHub,5924604114,966627
Rasasgul123,8510767,🥇 Neuaufsteher 🥇,12806,13817207,631,SpaceAgeSpaceHub,5865967525,1196899
Zoryc,5170413,Weisse Rose,6843,19932223,718,SpaceAgeSpaceHub,5856704141,1100414
Elektra 1,6359913,🥇 Neuaufsteher 🥇,12806,11456152,709,SpaceAgeSpaceHub,5846893456,864754
Teldus,3235403,🥇 Neuaufsteher 🥇,12806,19984236,892,SpaceAgeSpaceHub,5813708979,1069358
*Grobi*,9718409,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,23222673,912,SpaceAgeSpaceHub,5798900315,1217234
Stony3,9832738,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,25210426,829,SpaceAgeSpaceHub,5785717331,870914
man of doom,7086434,Outsiders,343,14249626,472,SpaceAgeSpaceHub,5771037568,1019906
mima 777,2592688,Black Phönix,17642,24523545,703,SpaceAgeSpaceHub,5763979686,757052
Al Skully,2747949,🥇 Neuaufsteher 🥇,12806,24302621,939,SpaceAgeSpaceHub,5695602335,1002399
Merlin-der-Große,851292873,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,14259295,69,SpaceAgeSpaceHub,5693953880,870682
Sigmund-Freud,10204207,Enterprise,877,14881640,1613,SpaceAgeSpaceHub,5678924107,1054483
Kjea9999,6594909,ρℓαуιηg αηgєℓѕ,92,12323560,276,SpaceAgeSpaceHub,5671347272,984086
Foe-Bug,10192307,Black Phönix,17642,28293959,1332,SpaceAgeSpaceHub,5663808885,878178
Volti78,7278995,Rising Crown,3780,3764426,170,SpaceAgeSpaceHub,5656514615,942128
Galtonell,29011,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,19991784,1088,SpaceAgeSpaceHub,5638449156,1004834
cocochanel111,5857719,Offshore,22974,14757256,465,SpaceAgeSpaceHub,5618313376,1034053
Helena 156 die Zornige,2973196,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,15287022,407,SpaceAgeSpaceHub,5617235581,928033
Kaputing,850286825,mehr Klima der FOE,25787,1111122,26,SpaceAgeSpaceHub,5576032089,733860
tennistom,2545769,Outsiders,343,9101623,241,SpaceAgeSpaceHub,5574470875,1164879
.clumsy.,5472893,Outsiders,343,9178962,199,SpaceAgeSpaceHub,5538979266,885147
Wutzel der Erste,850142218,ZzzZzz,25679,6017945,607,SpaceAgeSpaceHub,5527293324,1063193
Nobby Nobbs,6841621,🥇 Neuaufsteher 🥇,12806,16097700,468,SpaceAgeSpaceHub,5507004872,867134
Theodora.,5225612,🔥 Feuersterne ⭐️,13890,8170400,868,SpaceAgeSpaceHub,5467569697,1161445
HojeFX,8931520,Die Flitzpiepen 🦄,20795,20605838,801,SpaceAgeSpaceHub,5419644462,1036092
Sir-Thor,8922976,Kommune,5397,25524334,923,SpaceAgeSpaceHub,5395045135,1049093
Jörg123,9454299,🥇 Neuaufsteher 🥇,12806,33143134,854,SpaceAgeSpaceHub,5339902196,838805
Spira the Wolf,6924426,Only Ronin`s,17616,57593518,551,SpaceAgeSpaceHub,5335241248,851890
Shady Lady,849816641,🐉DragonRocker🏴‍☠️,7226,38533664,906,SpaceAgeSpaceHub,5332418945,951042
AngelDevil01,2947128,Kommune,5397,26071374,645,SpaceAgeSpaceHub,5322748605,686435
Emilly10,10465529,Outsiders,343,9456765,329,SpaceAgeSpaceHub,5304481596,952865
Casti 76,5806455,ρℓαуιηg αηgєℓѕ,92,34509033,653,SpaceAgeSpaceHub,5288220824,793101
John Wick7,849691634,🥇 Neuaufsteher 🥇,12806,36665698,552,SpaceAgeSpaceHub,5282727551,1002071
OhMaik,10031001,nur so,3050,3778747,66,SpaceAgeSpaceHub,5277542482,977367
Junikus,3097261,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,5050851,149,SpaceAgeSpaceHub,5254430004,883923
Fürst Ottokar der Kluge,6579580,Dragon Riders,159,16283160,491,SpaceAgeSpaceHub,5242536482,877244
kyni,850744953,ρℓαуιηg αηgєℓѕ,92,20185121,789,SpaceAgeSpaceHub,5237867786,1067955
Bethere,851269267,Outsiders,343,28381668,668,SpaceAgeSpaceHub,5207740334,771223
Spielender Wahnsinn,6145509,Outsiders,343,6143973,334,SpaceAgeSpaceHub,5198491258,1151185
Beagle1407,3526107,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,10617487,758,SpaceAgeSpaceHub,5191268205,1003097
