name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
Schreck 31.,9866839,Astra 💫 Australis,20187,6932776,401,,9096689728,1529677
Pitty die Einzigartige,9052762,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,28791157,1001,,8526470146,1450489
MichTo,4087524,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,15945518,945,,8480833735,1646718
Ronzel66,4025760,Force of Nature,21629,18644106,535,,8403475685,1081201
Shioban,8647643,Outsiders,343,17654482,724,,8017668306,1148701
Alcina,2134567,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,9486017,375,,7676255768,1648632
Diora,7970148,🥇 Neuaufsteher 🥇,12806,23782746,832,,7662425560,1042275
Lord 300,849847657,Outsiders,343,19281138,598,,7593980728,1158422
Waranus,3990889,Outsiders,343,18213403,899,,7497564542,1641241
Sir Kiran,4378638,🐉DragonRocker🏴‍☠️,7226,23654180,879,,7433494836,1399753
Trotha,5853737,Outsiders,343,12300135,562,,7383385995,1409102
Scofield 47,2485748,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,27496362,1139,,7374028701,1176962
Müsli x,7784860,Die Flitzpiepen 🦄,20795,8518114,923,,7339149967,1445107
Frankyboy1801,5864888,FunFighters,3537,12487684,571,,7290066936,1251985
Hugo Who?,5113380,Outsiders,343,19557855,870,,7084810152,1237239
oO AntaresAngel Oo,4087205,Outsiders,343,13157674,821,,7043616219,1311574
Bongo der Kampfhamster,7723206,Outsiders,343,11875652,1064,,6986289047,1200547
The Mighty Bull,5691099,Outsiders,343,16107907,551,,6938096386,1195272
Muwatallis,8841508,Outsiders,343,14002572,676,,6617200473,1229251
Gurney Halleck,10354135,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,19430433,900,,6439731698,1170657
Schwanenkönigin,8585464,Ohschlafe,25725,13373989,742,,6426821740,1169759
Epiktet Roma,2351138,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,26155838,1108,,6296453448,927093
Floderix,6067897,Fighting Porcupines,22345,20429952,770,,6272779413,1012020
Slow,8309922,Kunyaza,21880,0,0,,6202636900,1453808
ser allisar,2332553,Black Phönix,17642,10619984,1220,,6164039316,1263865
ArKa 74,2343149,🥇 Neuaufsteher 🥇,12806,8023873,819,,6085215873,1041412
Lennart1909,2482567,Outsiders,343,12493211,757,,5905777196,965645
Rasasgul123,8510767,🥇 Neuaufsteher 🥇,12806,20670346,1173,,5852150318,1196268
Zoryc,5170413,Weisse Rose,6843,13945105,714,,5836771918,1099696
Elektra 1,6359913,🥇 Neuaufsteher 🥇,12806,27065926,1741,,5835437304,864045
Teldus,3235403,🥇 Neuaufsteher 🥇,12806,16202215,1397,,5793724743,1068466
*Grobi*,9718409,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,11734770,440,,5775677642,1216322
Stony3,9832738,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,17843571,1004,,5760506905,870085
man of doom,7086434,Outsiders,343,31222553,1186,,5756787942,1019434
mima 777,2592688,Black Phönix,17642,21307873,781,,5739456141,756349
Merlin-der-Große,851292873,,,86266,18,,5679694585,870613
Al Skully,2747949,🥇 Neuaufsteher 🥇,12806,9891217,1031,,5671299714,1001460
Sigmund-Freud,10204207,Enterprise,877,10207745,978,,5664042467,1052870
Kjea9999,6594909,ρℓαуιηg αηgєℓѕ,92,7028930,314,,5659023712,983810
Volti78,7278995,Rising Crown,3780,21647050,392,,5652750189,941958
Foe-Bug,10192307,Black Phönix,17642,2646727,168,,5635514926,876846
Galtonell,29011,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,12251938,314,,5618457372,1003746
cocochanel111,5857719,Offshore,22974,20662115,738,,5603556120,1033588
Helena 156 die Zornige,2973196,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,20145875,782,,5601948559,927626
Naschaumamalix,850286825,mehr Klima der FOE,25787,77550,21,,5574920967,733834
tennistom,2545769,Outsiders,343,9982297,480,,5565369252,1164638
.clumsy.,5472893,Outsiders,343,12295117,804,,5529800304,884948
Wutzel der Erste,850142218,ZzzZzz,25679,6003983,562,,5521275379,1062586
Nobby Nobbs,6841621,🥇 Neuaufsteher 🥇,12806,17615249,1012,,5490907172,866666
Theodora.,5225612,🔥 Feuersterne ⭐️,13890,7974960,779,,5459399297,1160577
HojeFX,8931520,Die Flitzpiepen 🦄,20795,19259965,874,,5399038624,1035291
Sir-Thor,8922976,Kommune,5397,16985428,727,,5369520801,1048170
Jörg123,9454299,🥇 Neuaufsteher 🥇,12806,29775695,1036,,5306759062,837951
AngelDevil01,2947128,Kommune,5397,7256577,435,,5296677231,685790
Emilly10,10465529,Outsiders,343,18330161,532,,5295024831,952536
Shady Lady,849816641,🐉DragonRocker🏴‍☠️,7226,11342297,359,,5293885281,950136
Spira the Wolf,6924426,Only Ronin`s,17616,1884775,56,,5277647730,851339
OhMaik,10031001,nur so,3050,27978375,1595,,5273763735,977301
Casti 76,5806455,ρℓαуιηg αηgєℓѕ,92,25641899,855,,5253711791,792448
Junikus,3097261,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,15399408,639,,5249379153,883774
John Wick7,849691634,🥇 Neuaufsteher 🥇,12806,18293716,654,,5246061853,1001519
Fürst Ottokar der Kluge,6579580,Dragon Riders,159,21109833,575,,5226253322,876753
kyni,850744953,ρℓαуιηg αηgєℓѕ,92,19237027,682,,5217682665,1067166
Spielender Wahnsinn,6145509,Outsiders,343,14508255,703,,5192347285,1150851
Beagle1407,3526107,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,7987235,865,,5180650718,1002339
Bethere,851269267,Outsiders,343,27866970,1052,,5179358666,770555
