name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
Fox.Fox.Fox,850287508,Nordische Union,12521,987760,237,ArcticFuture,276518488,104065
babbischer,849938992,Dragon Riders,159,2325494,862,ArcticFuture,276418390,138902
äneas-01,2338783,,,195570,25,SpaceAgeSpaceHub,276236491,23846
Ukulele,730227,⚔ GoV ⚔  🕊,6768,840216,121,SpaceAgeVenus,276069181,64869
Viktorinus 5191 der Löwe,7903827,FGB🌹,21516,309943,28,SpaceAgeMars,275736713,24732
lexi969,9383948,morituri te salutant,19675,0,0,SpaceAgeVenus,275513565,106202
Rappe der Schwarze,7920096,,,0,0,ArcticFuture,275485867,161429
jossira,4281716,Krieger des Lichts,1148,623798,64,SpaceAgeJupiterMoon,275424829,38466
ZEUT,850672349,🕊Gorgonen🕊,4888,424161,73,SpaceAgeMars,275363007,84880
Thomas 324 der Erbauer,5482650,ungeimpft,19762,187396,17,SpaceAgeSpaceHub,275040414,44555
GoOn2023,852253988,Killing Time,23173,0,0,SpaceAgeJupiterMoon,275034660,10393
Stomping Capybara,9115549,Fab One,22897,0,0,SpaceAgeTitan,274753828,59983
Messalina 9940 die Weiße,851237973,Taj 🕌 Mahal,16562,1978188,377,OceanicFuture,274524704,90204
Caravagio,6740723,Helden der Birne,5088,280973,26,VirtualFuture,274502891,95487
Hanimag,2480956,,,0,0,OceanicFuture,274467898,115614
Kojot69,10614513,Legati Minervae,13956,0,0,SpaceAgeMars,273961691,115166
Dark Warp,836590,KEIN STRESS 🏖,14466,789840,298,FutureEra,273404052,114752
Cadfael,8784812,Unterschlupf 4.0,25218,231260,22,FutureEra,273141481,122358
Stargate 2000,5688725,für ruhige spieler,10549,243343,38,SpaceAgeSpaceHub,272963363,35579
Pompeia 1617 die Starke,849775578,Wirsindwiederda,18235,959110,0,SpaceAgeSpaceHub,272750722,23357
TheBabytwo,7124827,🥇 Neuaufsteher 🥇,12806,368025,132,ContemporaryEra,272727637,276729
brigga die schlaue,5500747,Blechbüchsenarmee,21590,0,0,SpaceAgeAsteroidBelt,272704402,93837
Graumeister,2849799,RL Pause,22816,107808,0,SpaceAgeVenus,272698113,67655
EdlerSchwob,5700660,,,0,0,OceanicFuture,272575673,87575
Christine X,2471835,,,0,0,SpaceAgeVenus,272559380,65765
xfleos,3465169,Die EISERNEN,6835,0,0,SpaceAgeVenus,272516593,72827
Oma Ente,4500463,,,0,0,SpaceAgeJupiterMoon,272464258,43507
Rhodonius,7617991,KARAT_1,25176,1092820,397,FutureEra,272079378,160596
victoria 52,1721840,,,0,0,SpaceAgeSpaceHub,271944702,45968
John Targaryen,849443225,Hamburger Hanse,8586,2779792,250,SpaceAgeSpaceHub,271935701,28672
CPS58,849214486,TerraX 🇺🇦,8905,2233709,447,SpaceAgeMars,271925214,129551
Mystic72,10625868,- HDL -,15355,357888,0,SpaceAgeSpaceHub,271910795,38148
Malwiene,849583530,TheDarkWarriorsG🇺🇦,611,588766,46,SpaceAgeTitan,271567993,39289
