name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
Schreck 31.,9866839,Astra 💫 Australis,20187,14989618,698,SpaceAgeSpaceHub,9157808338,1532779
Pitty die Einzigartige,9052762,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,23728245,1035,SpaceAgeSpaceHub,8624049438,1454224
MichTo,4087524,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,18082289,994,SpaceAgeSpaceHub,8549068624,1650347
Ronzel66,4025760,Force of Nature,21629,7836748,210,SpaceAgeSpaceHub,8443645296,1082248
Shioban,8647643,Outsiders,343,11481701,368,SpaceAgeSpaceHub,8066865824,1150230
Diora,7970148,🥇 Neuaufsteher 🥇,12806,19412731,726,SpaceAgeSpaceHub,7741153466,1045379
Alcina,2134567,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,8850371,491,SpaceAgeSpaceHub,7712498161,1650804
Lord 300,849847657,Outsiders,343,27948922,870,SpaceAgeSpaceHub,7680289124,1161092
Waranus,3990889,Outsiders,343,15532149,924,SpaceAgeSpaceHub,7542726738,1643506
Sir Kiran,4378638,🐉DragonRocker🏴‍☠️,7226,22859566,825,SpaceAgeSpaceHub,7509078900,1402569
Scofield 47,2485748,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,14212834,500,SpaceAgeSpaceHub,7450863925,1179600
Trotha,5853737,Outsiders,343,17227049,716,SpaceAgeSpaceHub,7449889077,1411498
Müsli x,7784860,Die Flitzpiepen 🦄,20795,10747871,911,SpaceAgeSpaceHub,7383446429,1448764
Frankyboy1801,5864888,FunFighters,3537,14439000,540,SpaceAgeSpaceHub,7347651135,1254651
oO AntaresAngel Oo,4087205,Outsiders,343,10867242,752,SpaceAgeSpaceHub,7124145492,1314805
Hugo Who?,5113380,Outsiders,343,14529518,1068,SpaceAgeSpaceHub,7123722133,1239803
Bongo der Kampfhamster,7723206,Outsiders,343,14949342,967,SpaceAgeSpaceHub,7048716623,1204651
The Mighty Bull,5691099,Outsiders,343,8766910,487,SpaceAgeSpaceHub,6989697467,1197500
Muwatallis,8841508,Outsiders,343,19618801,691,SpaceAgeSpaceHub,6679637764,1231227
Gurney Halleck,10354135,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,19275083,600,SpaceAgeSpaceHub,6504281735,1172744
Elise*,8585464,Ohschlafe,25725,15474639,903,SpaceAgeSpaceHub,6480099996,1172888
Epiktet Roma,2351138,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,21467284,1510,SpaceAgeSpaceHub,6383543092,931066
Floderix,6067897,Fighting Porcupines,22345,19537530,700,SpaceAgeSpaceHub,6357567684,1014888
Slow,8309922,Kunyaza,21880,0,0,SpaceAgeSpaceHub,6202636900,1453808
ser allisar,2332553,Black Phönix,17642,7383134,717,SpaceAgeSpaceHub,6196008806,1266600
ArKa 74,2343149,🥇 Neuaufsteher 🥇,12806,11173993,705,SpaceAgeSpaceHub,6150261642,1044729
Lennart1909,2482567,Outsiders,343,9883166,555,SpaceAgeSpaceHub,5952758790,968054
Elektra 1,6359913,🥇 Neuaufsteher 🥇,12806,21366793,851,SpaceAgeSpaceHub,5912292266,867120
Rasasgul123,8510767,🥇 Neuaufsteher 🥇,12806,16012748,623,SpaceAgeSpaceHub,5911693599,1198579
Zoryc,5170413,Weisse Rose,6843,10850690,536,SpaceAgeSpaceHub,5901310813,1102347
Stony3,9832738,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,21349891,822,SpaceAgeSpaceHub,5857374187,873390
Teldus,3235403,🥇 Neuaufsteher 🥇,12806,14302900,597,SpaceAgeSpaceHub,5848572505,1070925
*Grobi*,9718409,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,16791081,653,SpaceAgeSpaceHub,5837588142,1219690
mima 777,2592688,Black Phönix,17642,20695412,656,SpaceAgeSpaceHub,5836265097,759065
man of doom,7086434,Outsiders,343,13568741,483,SpaceAgeSpaceHub,5801308250,1021087
Al Skully,2747949,🥇 Neuaufsteher 🥇,12806,14732322,727,SpaceAgeSpaceHub,5756712409,1004304
