name,player_id,guild_name,guild_id,points_change,battles_change,era,points,battles
Schreck 31.,9866839,Astra 💫 Australis,20187,17455591,693,SpaceAgeSpaceHub,9175263929,1533472
Pitty die Einzigartige,9052762,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,21058009,908,SpaceAgeSpaceHub,8645107447,1455132
MichTo,4087524,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,17148679,969,SpaceAgeSpaceHub,8566217303,1651316
Ronzel66,4025760,Force of Nature,21629,16349094,343,SpaceAgeSpaceHub,8459994390,1082591
Shioban,8647643,Outsiders,343,13654924,619,SpaceAgeSpaceHub,8080520748,1150849
Diora,7970148,🥇 Neuaufsteher 🥇,12806,21084444,787,SpaceAgeSpaceHub,7762237910,1046166
Alcina,2134567,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,9943497,859,SpaceAgeSpaceHub,7722441658,1651663
Lord 300,849847657,Outsiders,343,18548423,684,SpaceAgeSpaceHub,7698837547,1161776
Trotha,5853737,Outsiders,343,122198920,514,SpaceAgeSpaceHub,7572087997,1412012
Waranus,3990889,Outsiders,343,15210409,721,SpaceAgeSpaceHub,7557937147,1644227
Sir Kiran,4378638,🐉DragonRocker🏴‍☠️,7226,15903432,614,SpaceAgeSpaceHub,7524982332,1403183
Scofield 47,2485748,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,17709308,624,SpaceAgeSpaceHub,7468573233,1180224
Müsli x,7784860,Die Flitzpiepen 🦄,20795,20013163,974,SpaceAgeSpaceHub,7403459592,1449738
Frankyboy1801,5864888,FunFighters,3537,17242647,475,SpaceAgeSpaceHub,7364893782,1255126
Hugo Who?,5113380,Outsiders,343,8035244,493,SpaceAgeSpaceHub,7131757377,1240296
oO AntaresAngel Oo,4087205,Outsiders,343,4925036,307,SpaceAgeSpaceHub,7129070528,1315112
Bongo der Kampfhamster,7723206,Outsiders,343,10535307,858,SpaceAgeSpaceHub,7059251930,1205509
The Mighty Bull,5691099,Outsiders,343,10758337,516,SpaceAgeSpaceHub,7000455804,1198016
Muwatallis,8841508,Outsiders,343,26944563,691,SpaceAgeSpaceHub,6706582327,1231918
Gurney Halleck,10354135,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,10392180,353,SpaceAgeSpaceHub,6514673915,1173097
Elise*,8585464,Ohschlafe,25725,12565012,850,SpaceAgeSpaceHub,6492665008,1173738
Epiktet Roma,2351138,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,13465484,1014,SpaceAgeSpaceHub,6397008576,932080
Floderix,6067897,Fighting Porcupines,22345,19028192,690,SpaceAgeSpaceHub,6376595876,1015578
ser allisar,2332553,Black Phönix,17642,6652023,683,SpaceAgeSpaceHub,6202660829,1267283
Slow,8309922,Kunyaza,21880,0,0,SpaceAgeSpaceHub,6202636900,1453808
ArKa 74,2343149,🥇 Neuaufsteher 🥇,12806,19325059,872,SpaceAgeSpaceHub,6169586701,1045601
Lennart1909,2482567,Outsiders,343,13153634,769,SpaceAgeSpaceHub,5965912424,968823
Elektra 1,6359913,🥇 Neuaufsteher 🥇,12806,20993137,821,SpaceAgeSpaceHub,5933285403,867941
Rasasgul123,8510767,🥇 Neuaufsteher 🥇,12806,11307265,443,SpaceAgeSpaceHub,5923000864,1199022
Zoryc,5170413,Weisse Rose,6843,11606606,995,SpaceAgeSpaceHub,5912917419,1103342
Stony3,9832738,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,21313920,765,SpaceAgeSpaceHub,5878688107,874155
Teldus,3235403,🥇 Neuaufsteher 🥇,12806,16948643,570,SpaceAgeSpaceHub,5865521148,1071495
*Grobi*,9718409,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,14738080,571,SpaceAgeSpaceHub,5852326222,1220261
mima 777,2592688,Black Phönix,17642,15325268,528,SpaceAgeSpaceHub,5851590365,759593
man of doom,7086434,Outsiders,343,14782444,652,SpaceAgeSpaceHub,5816090694,1021739
Al Skully,2747949,🥇 Neuaufsteher 🥇,12806,17345764,739,SpaceAgeSpaceHub,5774058173,1005043
cocochanel111,5857719,Offshore,22974,19790197,795,SpaceAgeSpaceHub,5736109996,1037339
Foe-Bug,10192307,Black Phönix,17642,3692085,155,SpaceAgeSpaceHub,5726783345,880868
Kjea9999,6594909,ρℓαуιηg αηgєℓѕ,92,16698300,571,SpaceAgeSpaceHub,5716071189,985676
Merlin-der-Große,851292873,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,5385483,83,SpaceAgeSpaceHub,5709008850,871038
Galtonell,29011,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,14313319,797,SpaceAgeSpaceHub,5696669978,1008629
Sigmund-Freud,10204207,Enterprise,877,4297740,346,SpaceAgeSpaceHub,5695483005,1055916
Helena 156 die Zornige,2973196,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,18779673,588,SpaceAgeSpaceHub,5694341728,930628
Volti78,7278995,Rising Crown,3780,4755238,203,SpaceAgeSpaceHub,5672470645,942781
.clumsy.,5472893,Outsiders,343,22716489,869,SpaceAgeSpaceHub,5612971301,888236
tennistom,2545769,Outsiders,343,6503980,256,SpaceAgeSpaceHub,5611572050,1165949
Kaputing,850286825,mehr Klima der FOE,25787,1664320,156,SpaceAgeSpaceHub,5583914995,734227
Nobby Nobbs,6841621,🥇 Neuaufsteher 🥇,12806,20112238,753,SpaceAgeSpaceHub,5578508873,869844
Wutzel der Erste,850142218,ZzzZzz,25679,2491432,214,SpaceAgeSpaceHub,5552155623,1065515
Theodora.,5225612,🔥 Feuersterne ⭐️,13890,9931000,975,SpaceAgeSpaceHub,5504476299,1164739
HojeFX,8931520,Die Flitzpiepen 🦄,20795,14879158,673,SpaceAgeSpaceHub,5476709471,1038607
Sir-Thor,8922976,Kommune,5397,18645870,733,SpaceAgeSpaceHub,5454404450,1051252
Shady Lady,849816641,🐉DragonRocker🏴‍☠️,7226,20173607,595,SpaceAgeSpaceHub,5403148804,953324
John Wick7,849691634,🥇 Neuaufsteher 🥇,12806,57063299,570,SpaceAgeSpaceHub,5389812928,1004498
Jörg123,9454299,🥇 Neuaufsteher 🥇,12806,9749600,385,SpaceAgeSpaceHub,5367882605,839672
Emilly10,10465529,Outsiders,343,14642709,535,SpaceAgeSpaceHub,5358037647,954770
AngelDevil01,2947128,Kommune,5397,758945,131,SpaceAgeSpaceHub,5351134970,687448
Spira the Wolf,6924426,Only Ronin`s,17616,0,0,SpaceAgeSpaceHub,5345713523,852403
Casti 76,5806455,ρℓαуιηg αηgєℓѕ,92,14444616,558,SpaceAgeSpaceHub,5344876775,795050
OhMaik,10031001,nur so,3050,10145410,847,SpaceAgeSpaceHub,5315281939,980518
kyni,850744953,ρℓαуιηg αηgєℓѕ,92,13682602,532,SpaceAgeSpaceHub,5313198872,1070824
Junikus,3097261,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,17706253,484,SpaceAgeSpaceHub,5312749597,885580
Fürst Ottokar der Kluge,6579580,Dragon Riders,159,17964607,629,SpaceAgeSpaceHub,5311670080,879548
Bethere,851269267,Outsiders,343,28024520,987,SpaceAgeSpaceHub,5284048877,774050
Caputo,9566185,RELIC HUNTERS,2803,15461131,597,SpaceAgeSpaceHub,5245900359,755092
Opa Rocky,2327684,🥇 Neuaufsteher 🥇,12806,9898326,407,SpaceAgeSpaceHub,5236829105,899169
Beagle1407,3526107,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,7077178,648,SpaceAgeSpaceHub,5227921161,1006530
Spielender Wahnsinn,6145509,Outsiders,343,9176052,294,SpaceAgeSpaceHub,5225591846,1152541
Loonasdad85,8859450,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,5921191,228,SpaceAgeTitan,5211514732,979556
Eldo,8903385,Die Spartiaten,12599,17358120,706,SpaceAgeSpaceHub,5162054385,780675
Mellow 667,3493138,Rising Crown,3780,5747904,438,SpaceAgeSpaceHub,5150553071,1024208
Bx12,6165950,🥇 Neuaufsteher 🥇,12806,9924654,453,SpaceAgeSpaceHub,5141023927,925304
Leopold 365 der Düstere,5456304,Outsiders,343,24336123,903,SpaceAgeSpaceHub,5120129102,689346
Hilfreiche,849702172,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,22081172,783,SpaceAgeSpaceHub,5051660262,651966
DevilCat,5960940,☠️𝕹ight𝕸are☠️,24477,19863230,716,SpaceAgeSpaceHub,5036815328,709812
PT-JR,852816370,Outsiders,343,25654371,930,SpaceAgeSpaceHub,5022831561,495773
Kultbaer,9947792,Rising Island 🏝,8070,17099225,623,SpaceAgeSpaceHub,5021717381,783724
Pikulite,849917843,Die Arbeiter,635,3318284,139,SpaceAgeSpaceHub,4989508744,838894
Amazone Artep,8068162,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4656972,196,SpaceAgeSpaceHub,4987534401,615824
-Rosa-,7213729,🐉DragonRocker🏴‍☠️,7226,6813877,271,SpaceAgeSpaceHub,4965414236,876370
BoneBreaker,5462431,☠️𝕹ight𝕸are☠️,24477,24183917,937,SpaceAgeSpaceHub,4965282304,751744
Aga.,2347921,Kommune,5397,34606184,533,SpaceAgeSpaceHub,4943269094,914461
Thorana,10332279,🥇 Neuaufsteher 🥇,12806,16337161,812,SpaceAgeSpaceHub,4910032002,880437
Gustavo Fring,849775006,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,11098200,361,SpaceAgeSpaceHub,4909725170,1071090
Cäsar 222,8615598,Outsiders,343,11289836,561,SpaceAgeSpaceHub,4892257096,1016230
Tiberius aus dem Norden,9365260,Outsiders,343,12075481,688,SpaceAgeSpaceHub,4826624722,902598
Patrones,6746433,FunFighters,3537,11338264,404,SpaceAgeSpaceHub,4777307228,909227
Kalliope die I,852303901,Only Ronin`s,17616,4938798,224,SpaceAgeSpaceHub,4772916201,603189
Ani01,8822554,Weisse Rose,6843,8595627,743,SpaceAgeSpaceHub,4747741674,937904
PlatzdaFlash,5896051,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,11126847,334,SpaceAgeSpaceHub,4705287817,760292
Remus von Populonia,9624623,Die Flitzpiepen 🦄,20795,22032378,694,SpaceAgeSpaceHub,4702441757,760856
amazonasmaus,5990149,🐉DragonRocker🏴‍☠️,7226,7412195,85,SpaceAgeSpaceHub,4678089393,801148
TKR501,3825023,Only Ronin`s,17616,9601103,602,SpaceAgeSpaceHub,4654605401,739484
fraxel,5446031,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,33215308,774,SpaceAgeSpaceHub,4636533607,869147
CaliBero,8588143,🥇 Neuaufsteher 🥇,12806,20135988,746,SpaceAgeSpaceHub,4630066310,825183
Katharina die Grosse 4,2617153,ρℓαуιηg αηgєℓѕ,92,11359146,1099,SpaceAgeSpaceHub,4630059716,812832
Brutuspumbernickelbert,2352343,Foe Pause,25678,6440801,215,SpaceAgeSpaceHub,4593638284,926735
Kolovrat,7782453,🥇 Neuaufsteher 🥇,12806,15194412,678,SpaceAgeSpaceHub,4579894683,877842
Leonidas09,3084698,Kommune,5397,22480096,719,SpaceAgeSpaceHub,4576578125,636119
Agrippa 727 der Tapfere,9542421,nur so,3050,10336421,617,SpaceAgeSpaceHub,4522568414,962849
Gilgamesch ForgottenOne,9484155,Die Fantastischen 3,13797,18968454,750,SpaceAgeSpaceHub,4508671754,986274
Battle Cat 75,9253191,FunFighters,3537,4980122,179,SpaceAgeSpaceHub,4503223846,708371
Det Medwed,3073300,Fluffige Mammuts🦣🦣,7139,1989841,48,SpaceAgeSpaceHub,4493206060,986551
vitya,4578438,,,0,0,SpaceAgeTitan,4484871271,1231836
mo1973,7142904,Knights of Asgard,6,5704632,575,SpaceAgeSpaceHub,4477247645,981649
Grauer Wurm,5773738,Die Flitzpiepen 🦄,20795,6710751,376,SpaceAgeSpaceHub,4464405821,807682
