name,player_id,guild_name,guild_id,points,battles
Hilfreiche,849702172,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4943112558,648221
Pikulite,849917843,Die Arbeiter,635,4929366432,836534
Amazone Artep,8068162,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4925159489,613686
DevilCat,5960940,☠️Nightmare☠️,24477,4893775344,704885
Kultbaer,9947792,Rising Island 🏝,8070,4889646335,777762
-Rosa-,7213729,🐉DragonRocker🏴‍☠️,7226,4875718686,873514
PT-JR,852816370,Outsiders,343,4846440204,489998
BoneBreaker,5462431,☠️Nightmare☠️,24477,4834036299,747037
Aga.,2347921,Kommune,5397,4814891672,910446
Cäsar 222,8615598,Outsiders,343,4809294835,1012181
Thorana,10332279,🥇 Neuaufsteher 🥇,12806,4806743234,875523
Gustavo Fring,849775006,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4806611773,1067875
Tiberius aus dem Norden,9365260,Outsiders,343,4737204169,897595
Kalliope die I,852303901,Only Ronin`s,17616,4692581811,599610
Patrones,6746433,FunFighters,3537,4687190096,903682
Ani01,8822554,Weisse Rose,6843,4658205124,932769
amazonasmaus,5990149,🐉DragonRocker🏴‍☠️,7226,4633163720,799929
PlatzdaFlash,5896051,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4631471750,757803
TKR501,3825023,Only Ronin`s,17616,4568186521,734296
fraxel,5446031,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4563096803,865891
Remus von Populonia,9624623,Die Flitzpiepen 🦄,20795,4561758110,756363
Katharina die Grosse 4,2617153,ρℓαуιηg αηgєℓѕ,92,4541389082,807030
Brutuspumbernickelbert,2352343,Foe Pause,25678,4507876190,923363
CaliBero,8588143,🥇 Neuaufsteher 🥇,12806,4503082485,820107
Kolovrat,7782453,🥇 Neuaufsteher 🥇,12806,4491141001,872489
vitya,4578438,,,4484871271,1231836
Leonidas09,3084698,Kommune,5397,4452169323,631986
Det Medwed,3073300,Fluffige Mammuts🦣🦣,7139,4447276472,981961
Agrippa 727 der Tapfere,9542421,nur so,3050,4441291125,958041
mo1973,7142904,Knights of Asgard,6,4418098288,976210
Anastasius 78,6458932,Abstellgleis 2,25514,4407274438,862275
Hans der 3,8844497,🕊 Grenzgänger 🕊,12219,4405159832,752463
Battle Cat 75,9253191,FunFighters,3537,4400552443,704937
Grauer Wurm,5773738,Die Flitzpiepen 🦄,20795,4396999967,804230
leon 288,7445549,MMM,25147,4356676009,589742
AbueloKlaus,7689698,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4352759657,752770
Zewam,2711028,Expendables & Falken,8004,4348802364,1265106
Xx.LEO.xX,7313397,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4341897843,784807
Gilgamesch ForgottenOne,9484155,Die Fantastischen 3,13797,4335546685,980282
oZZiploZZi,6352671,Outsiders,343,4332445373,672082
wattwurm66,4316785,Die Flitzpiepen 🦄,20795,4331228294,938961
Icebreaker1971,2820222,🧊Ice Gilde🧊,6289,4326198691,770922
asqw1,2233782,Rising Crown,3780,4318873096,854230
TRISTESSE,7955197,Yggdrasil,10153,4317225831,795817
belladonna 66,8642092,Fluffige Mammuts🦣🦣,7139,4308531914,669037
Casyhasy,8991313,Die Flitzpiepen 🦄,20795,4301708730,899698
LFCDOC der Unbarmherzige,5697281,🥇 Neuaufsteher 🥇,12806,4287387937,1067609
Deadpoolli,3822489,Die Flitzpiepen 🦄,20795,4278427048,788837
Svetik,10284923,🥇 Neuaufsteher 🥇,12806,4272652000,661670
Mister X123,4397549,Next Generation,16,4265446867,714263
Asmodae,3530006,Force of Nature,21629,4250157457,739261
gunderl,849340921,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4245178711,626912
Unity,9477691,XOX,25663,4244049292,708849
-Heidi-,9004327,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4233578110,897034
TimeHunter,3768400,Black Phönix,17642,4231148067,770497
johndoe1,10345165,🥃 Havana Club 🥃,20016,4204536588,529985
Chris8156,9719229,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4197046694,791575
Thorsten aus Hamburg,3123799,Horde der Hanse,14972,4180672033,648302
Tööbi Valhall,8742752,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,4173873267,754831
El buho,8566844,Only Ronin`s,17616,4164060086,715113
Edmund 485 der Verwegene,8174419,Rising Crown,3780,4150698942,772570
Yenkilus der 44.,8257853,Hessian Dragons,109,4148080633,599579
Blanka,7913583,Force of Nature,21629,4146963765,877195
Honorius 746 der Weise,8592968,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4142832202,690516
KämpferSiegfried,4738589,Outsiders,343,4127983109,806348
Sandy112,7352617,Weisse Rose,6843,4124012756,689416
pope600,2180229,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,4118988761,731340
Yazoo1000,3926812,Force of Nature,21629,4118219274,674073
Milai,9532845,Black Phönix,17642,4107437936,855970
Felix .,1304842,FunFighters,3537,4105238650,701366
Jochen dein Freund,850455917,Outsiders,343,4099490637,594583
sodedako,9847392,ρℓαуιηg αηgєℓѕ,92,4087166422,619316
DARK SLAYER FRANK,849484067,Only Ronin`s,17616,4084508528,627259
Joe Stoppelbart,8407475,🕊 Quo Vadis 🕊,2017,4073065053,725739
JarodX,3079265,Rising Crown,3780,4067042272,807701
MuadDib,851160841,🐉DragonRocker🏴‍☠️,7226,4066569135,822214
Arthus Seele,4388294,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4046699426,881241
GROOT15,8497645,FunFighters,3537,4038214040,665820
der-dude78,8945256,Die Spartiaten,12599,4038086486,651971
KingGunterius,4377509,FunFighters,3537,4033672038,703741
Matilda 0815,5605812,,,4031588226,813887
Hugin Rabenson,850940369,Knights of Asgard,6,4016563484,511978
tj der große von tutles,10436333,🥇 Neuaufsteher 🥇,12806,4014993665,682273
.42.,8455357,Meerkater 🇺🇦,16471,4011591998,745259
serbish,2601474,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4005377883,619819
Franziskus der Heilige,4537553,Schwarze Engel🕊,4132,3991551177,721419
T4Ever,850775321,FunFighters,3537,3976222051,787343
Barney Nord 2009,9314566,Outsiders,343,3950144579,754705
= Medusa =,3630821,🕊Gorgonen🕊,4888,3949174844,763820
nikosita,850425951,Kommune,5397,3934722143,643902
Baruch,7932655,Helden der Birne,5088,3932478703,547889
Bern der Harte,4248550,Pausenraum,16248,3917173152,627820
Cynthia 264,4261226,Outsiders,343,3904496566,610839
Katzi.,7958496,,,3888681540,838593
Jolly Jumper,8869880,🥇 Neuaufsteher 🥇,12806,3884103521,855881
Emporer of Mankind,3343993,Outsiders,343,3883686927,598775
Angus v. d. Dt. Dogge,3455485,ρℓαуιηg αηgєℓѕ,92,3877302314,769966
Bond2019,9842696,☠️NeverNight☠️,10520,3875021205,593387
Der Herzige,4590109,Only Ronin`s,17616,3862209954,693269
brundica,4959565,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3858010942,596768
hubulubu,852039551,Einfeld,23817,3845430424,499516
Harley the Quinn,4393638,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3842827229,874320
Frank von Sulingen,8076878,ρℓαуιηg αηgєℓѕ,92,3839958473,600450
