name,player_id,guild_name,guild_id,points_change,battles_change,points,battles
TopTenHH,852119949,Handel & Wandel,4033,0,0,31213925,54063
der Hecht,10525966,,,0,0,31212426,40164
RapturePrime,853142027,,,0,0,31203878,10293
SlyCard1976,7029196,The Phantom,19406,5408,8,31155694,12370
Paul vom Wald,852123896,,,0,0,31132701,20479
FürstRene,849526207,,,0,0,31078235,20932
Force,10021891,onemanshow,20790,16933,95,31076341,75532
kato19,4899994,,,0,0,31070060,19499
gumpi10,851362505,,,0,0,31051432,13306
Pepper die scharfe,849665274,Newcomer,9175,24100,37,30976489,69689
MungosDNA,3044412,🏹Kopfgeldjäger🏹,1859,683200,285,30945694,19337
Aurora Lumen,10021997,Hamburger Hanse,8586,125171,321,30883529,15957
Tux der Gerechte,849476736,,,0,0,30857036,45053
Gobi2,3596590,Schlafende Birnen,21179,0,0,30855265,20218
RPunktSPunkt,3490053,,,0,0,30841793,25230
Kitty die Böse,6813409,,,0,0,30838446,22332
Shadowside-,9900725,,,0,0,30829619,15688
popanz2202,9479074,Die Minititanen,7296,0,0,30802805,44381
HustenHansvomHalley,6943187,Pausenhaus,25624,759444,361,30789298,63312
Pfaffenhütchen,8150262,Die Amazonen,2050,0,0,30783689,15370
Frederico F.,850588997,Sol Galactica,22716,0,0,30780006,55324
ARO71 der Gute,4848921,,,0,0,30761487,13884
Gernot XXIII,849645433,,,0,0,30737233,64248
Alexander the gradest,6774048,,,0,0,30724739,10382
gogogo10,9155038,*Just for Fun*,1181,0,0,30691281,25287
Stilgar,7279257,,,0,0,30678042,39522
oblong1,7466110,,,0,0,30647499,28054
Alter Borusse,10033440,🕊Gorgonen🕊,4888,0,0,30639012,19510
T0c0pher0l,850363345,,,0,0,30637954,25774
Obelixine,6523459,MAKEDONIA,1262,0,0,30589482,16503
Yukiarashi,8518123,,,0,0,30566729,31664
Fiona Edle Von Rauenfels,6596579,😇Engel+Strategen🈲,60,6323,4,30561788,45784
Rolle der Ruhige,4984011,Jubel,7104,0,0,30550350,17305
Juma die Weise,849029394,Pinky&Brain,16858,0,0,30519552,10296
Brucolac,5577778,Prometheus,5312,0,0,30511175,10516
nn4l,850006113,,,0,0,30488441,94317
Smilla 189,10384542,,,0,0,30487009,19914
Steve Black,5237343,Wünsch dir was,15692,5115,0,30456443,14123
General grady,8403926,,,0,0,30414678,12342
Borke8,9374413,,,0,0,30359094,30622
Roland der Schläfrige,849492302,Team *Teamwork*,15686,58660,54,30287841,31434
weisslee,850073946,SchwaBadener,22128,0,0,30284108,20336
Geoffrey 770 der Pfähler,8640664,,,0,0,30249780,14295
Didi112,850192571,,,0,0,30242019,14277
Lady Elko,1874428,,,0,0,30238669,20904
Elocin 2019,852477966,,,0,0,30213437,21332
Heideprinzessin,849692891,☣⚔  Freie Wilde ⚔️☢,23161,70229,17,30183187,11367
maladez,852442265,KEIN STRESS 🏖,14466,50930,24,30169465,21764
Leyhra,4983726,🌄Horizon Adventurer,170,0,0,30068353,12476
DreJoB,850564771,TerraX 🇺🇦,8905,0,0,30056759,10092
Kammerjäger1987,3369467,,,0,0,30033077,21627
Gargantua der Gierige,849043308,Die Gierigen,24133,0,0,30023553,16821
Lanzelord78,9410250,,,0,0,29958716,29521
Probi,849244049,,,0,0,29954807,77532
Erik der Große 29,2554753,Cree,22432,1411594,459,29904122,11426
Don Franscesco,849581280,LowLanders,17828,0,0,29818741,12514
Ursandra8,10607131,,,0,0,29785115,38467
JohnAI,1977041,,,0,0,29737116,24744
CSS4,850372877,,,0,0,29726512,78989
Jelena 666,8933352,,,0,0,29705356,25554
ParaAxe,7757729,Gexoholics,17823,0,0,29697668,23159
Sunny the D3v1L,9564891,Brunnenhausen,23347,0,0,29690062,24946
Kleine Exe,850620483,für ruhige spieler,10549,0,0,29646749,16960
Starkiller2609,8108553,,,0,0,29634877,13298
Raloma der Große,8897534,Verpflichtungslos,15784,6390,0,29578551,22443
Fuchs210121,6236309,,,0,0,29559851,22528
Tolatar,850595061,Die Minititanen,7296,0,0,29559232,22682
Freki der Gefräßige,3799744,🌹Spielen zum Spaß🌷,6977,0,0,29541998,19434
Labasrytas,9941414,Keine Verpflichtung,12220,3795,1,29537647,47442
Tirpitz59,850097625,april21,19354,43818,22,29534929,10287
gurgelhals12,850613441,Stern des Südens,11150,0,0,29462348,14965
Bootimore,7502420,Nebenwelt für DIAs,24496,383,14,29446899,20585
trinikel64,2317448,trinikel,24644,0,0,29436584,11260
Uhtred Wolfskrieger,851181657,,,0,0,29415941,36188
GerdasonIII,9521510,,,0,0,29402006,22866
Kopfs,852193636,One,4953,0,0,29344336,20036
1hiro,5621974,SWF-Gilde,3572,0,0,29330069,29294
Leonardo Lux,852156007,Glücksgefühle,5093,277812,37,29319732,16710
Vesta 996 die Weiße,849914279,Die Erkunder,6331,69354,23,29319603,16617
Tabsi der Mächtige,849664890,,,0,0,29236481,21585
King Wolfi,849030021,Ü 50-OHNE PFLICHTEN,7652,912,20,29217233,64078
Monique.,5888010,,,0,0,29187946,28466
Selena11,849760831,Die Tavernenhocker,4833,26422,4,29182818,11706
BlackGeorge2020,849086850,,,0,0,29152607,72653
Onkel Daas,1074182,🇺🇦 Friedliche Händ,862,0,0,29140134,12782
HitmanHH,4504387,,,0,0,29137799,36285
Guardian of the Galaxy,10510428,,,0,0,29094732,13945
VIKTOR59,849550551,V.K,24559,0,0,29093619,70957
Eleanor Guthrie,9383794,,,0,0,29072861,14565
Endalin,1847165,Die Tavernenhocker,4833,5514,16,29016974,15351
I. Stephan der Große,10547118,,,0,0,29010388,16129
Malefizent,10340793,DTH just for fun,6840,0,0,29007367,27525
Mary87,852607203,Mosel Wein 🍇🍷,24270,744939,295,29005462,10403
Leisure Suit Larry,851824437,Cree,22432,12317,12,28995280,22021
Fofoflohflo,852041759,,,0,0,28966649,43737
sikando,1123290,Horde 🕊🇺🇦,3441,13785,0,28930964,12094
suchtie7,10568368,,,0,0,28925590,11873
sowieso007,850529485,,,0,0,28905201,15869
Franz von Österreich,2486882,Waldschraat,6793,0,0,28902385,31041
lj202,850563769,Neu-Drachenfels,11825,0,0,28887660,50392
Rotbuscher,849542499,,,0,0,28840808,14174
Alerius,852080311,Herzogtum BY,15390,0,0,28800927,40662
Kubaku,9311039,,,0,0,28765903,45414
Wüstenfuchs der 1.,7479986,,,0,0,28755655,10547
Darius 504 der Schöne,8181221,,,0,0,28737206,27873
