name,player_id,guild_name,guild_id,points_change,battles_change,points,battles
Schreck 31.,9866839,Astra 💫 Australis,20187,21068899,1169,9089756952,1529276
Pitty die Einzigartige,9052762,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,21952469,1138,8497678989,1449488
MichTo,4087524,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,16026541,922,8464888217,1645773
Ronzel66,4025760,Force of Nature,21629,11205301,564,8384831579,1080666
Shioban,8647643,Outsiders,343,11750133,649,8000013824,1147977
Alcina,2134567,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,7091821,966,7666769751,1648257
Diora,7970148,🥇 Neuaufsteher 🥇,12806,18449645,761,7638642814,1041443
Lord 300,849847657,Outsiders,343,28034522,817,7574699590,1157824
Waranus,3990889,Outsiders,343,5043992,318,7479351139,1640342
Sir Kiran,4378638,🐉DragonRocker🏴‍☠️,7226,555430,141,7409840656,1398874
Trotha,5853737,Outsiders,343,14977190,672,7371085860,1408540
Scofield 47,2485748,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,20555220,889,7346532339,1175823
Müsli x,7784860,Die Flitzpiepen 🦄,20795,12640506,1283,7330631853,1444184
Frankyboy1801,5864888,FunFighters,3537,18871712,588,7277579252,1251414
Hugo Who?,5113380,Outsiders,343,7907008,920,7065252297,1236369
oO AntaresAngel Oo,4087205,Outsiders,343,17167244,1421,7030458545,1310753
Bongo der Kampfhamster,7723206,Outsiders,343,13065770,1317,6974413395,1199483
The Mighty Bull,5691099,Outsiders,343,12419084,787,6921988479,1194721
Muwatallis,8841508,Outsiders,343,16450758,659,6603197901,1228575
Gurney Halleck,10354135,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,3971632,93,6420301265,1169757
Schwanenkönigin,8585464,Ohschlafe,25725,7650645,612,6413447751,1169017
Epiktet Roma,2351138,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,14014454,449,6270297610,925985
Floderix,6067897,Fighting Porcupines,22345,15046689,597,6252349461,1011250
Slow,8309922,Kunyaza,21880,0,0,6202636900,1453808
ser allisar,2332553,Black Phönix,17642,4907063,497,6153419332,1262645
ArKa 74,2343149,🥇 Neuaufsteher 🥇,12806,18770151,922,6077192000,1040593
Lennart1909,2482567,Outsiders,343,16508000,752,5893283985,964888
Rasasgul123,8510767,🥇 Neuaufsteher 🥇,12806,15502525,721,5831479972,1195095
Zoryc,5170413,Weisse Rose,6843,17209077,846,5822826813,1098982
Elektra 1,6359913,🥇 Neuaufsteher 🥇,12806,3249756,431,5808371378,862304
Teldus,3235403,🥇 Neuaufsteher 🥇,12806,9669268,1153,5777522528,1067069
*Grobi*,9718409,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,9939186,561,5763942872,1215882
Stony3,9832738,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,19691416,966,5742663334,869081
man of doom,7086434,Outsiders,343,7029690,476,5725565389,1018248
mima 777,2592688,Black Phönix,17642,12900365,1187,5718148268,755568
Merlin-der-Große,851292873,,,63970,13,5679608319,870595
Al Skully,2747949,🥇 Neuaufsteher 🥇,12806,10718078,908,5661408497,1000429
Sigmund-Freud,10204207,Enterprise,877,4364810,282,5653834722,1051892
Kjea9999,6594909,ρℓαуιηg αηgєℓѕ,92,16225963,700,5651994782,983496
Foe-Bug,10192307,Black Phönix,17642,18135943,1872,5632868199,876678
Volti78,7278995,Rising Crown,3780,4867022,298,5631103139,941566
Galtonell,29011,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,12627763,972,5606205434,1003432
cocochanel111,5857719,Offshore,22974,14065810,670,5582894005,1032850
Helena 156 die Zornige,2973196,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,19270058,672,5581802684,926844
Naschaumamalix,850286825,mehr Klima der FOE,25787,1249033,46,5574843417,733813
tennistom,2545769,Outsiders,343,5125932,315,5555386955,1164158
.clumsy.,5472893,Outsiders,343,3866720,295,5517505187,884144
Wutzel der Erste,850142218,ZzzZzz,25679,530310,63,5515271396,1062024
Nobby Nobbs,6841621,🥇 Neuaufsteher 🥇,12806,19367004,971,5473291923,865654
Theodora.,5225612,🔥 Feuersterne ⭐️,13890,7933125,874,5451424337,1159798
HojeFX,8931520,Die Flitzpiepen 🦄,20795,7519872,272,5379778659,1034417
Sir-Thor,8922976,Kommune,5397,13562950,659,5352535373,1047443
AngelDevil01,2947128,Kommune,5397,23827351,1384,5289420654,685355
Shady Lady,849816641,🐉DragonRocker🏴‍☠️,7226,19426291,683,5282542984,949777
Jörg123,9454299,🥇 Neuaufsteher 🥇,12806,16244553,674,5276983367,836915
Emilly10,10465529,Outsiders,343,12321271,430,5276694670,952004
Spira the Wolf,6924426,Only Ronin`s,17616,396310,83,5275762955,851283
OhMaik,10031001,nur so,3050,9257246,887,5245785360,975706
Junikus,3097261,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,22312392,725,5233979745,883135
Casti 76,5806455,ρℓαуιηg αηgєℓѕ,92,23837173,726,5228069892,791593
John Wick7,849691634,🥇 Neuaufsteher 🥇,12806,20151335,754,5227768137,1000865
Fürst Ottokar der Kluge,6579580,Dragon Riders,159,15421870,529,5205143489,876178
kyni,850744953,ρℓαуιηg αηgєℓѕ,92,18324853,1021,5198445638,1066484
Spielender Wahnsinn,6145509,Outsiders,343,4913960,394,5177839030,1150148
Beagle1407,3526107,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,4013413,550,5172663483,1001474
Opa Rocky,2327684,🥇 Neuaufsteher 🥇,12806,12277982,461,5165865773,896711
Bethere,851269267,Outsiders,343,24196029,1138,5151491696,769503
Caputo,9566185,RELIC HUNTERS,2803,13171230,609,5150955933,751743
Loonasdad85,8859450,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,16127881,674,5118730329,976086
Mellow 667,3493138,Rising Crown,3780,5910103,351,5110942141,1021946
Bx12,6165950,🥇 Neuaufsteher 🥇,12806,9510286,300,5077638916,923032
Eldo,8903385,Die Spartiaten,12599,19492576,823,5047205302,776593
Leopold 365 der Düstere,5456304,Outsiders,343,18304855,852,5015675639,685969
Hilfreiche,849702172,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,2017033,111,4945129591,648332
Amazone Artep,8068162,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,10339245,604,4935498734,614290
Pikulite,849917843,Die Arbeiter,635,3751101,236,4933117533,836770
DevilCat,5960940,☠️Nightmare☠️,24477,14464943,944,4908240287,705829
Kultbaer,9947792,Rising Island 🏝,8070,12257701,1344,4901904036,779106
-Rosa-,7213729,🐉DragonRocker🏴‍☠️,7226,21111292,287,4896829978,873801
PT-JR,852816370,Outsiders,343,22474607,1012,4868914811,491010
BoneBreaker,5462431,☠️Nightmare☠️,24477,14818428,694,4848854727,747731
Aga.,2347921,Kommune,5397,15941350,662,4830833022,911108
Gustavo Fring,849775006,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,16466619,502,4823078392,1068377
Cäsar 222,8615598,Outsiders,343,11572521,637,4820867356,1012818
Thorana,10332279,🥇 Neuaufsteher 🥇,12806,9782111,523,4816525345,876046
Tiberius aus dem Norden,9365260,Outsiders,343,9078885,567,4746283054,898162
Kalliope die I,852303901,Only Ronin`s,17616,11705632,534,4704287443,600144
Patrones,6746433,FunFighters,3537,12640560,849,4699830656,904531
Ani01,8822554,Weisse Rose,6843,8555519,877,4666760643,933646
amazonasmaus,5990149,🐉DragonRocker🏴‍☠️,7226,12786326,283,4645950046,800212
PlatzdaFlash,5896051,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,8150504,269,4639622254,758072
Remus von Populonia,9624623,Die Flitzpiepen 🦄,20795,26161961,984,4587920071,757347
TKR501,3825023,Only Ronin`s,17616,11328762,808,4579515283,735104
fraxel,5446031,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,5150966,564,4568247769,866455
Katharina die Grosse 4,2617153,ρℓαуιηg αηgєℓѕ,92,13150682,1172,4554539764,808202
CaliBero,8588143,🥇 Neuaufsteher 🥇,12806,15512156,863,4518594641,820970
Brutuspumbernickelbert,2352343,Foe Pause,25678,8185706,428,4516061896,923791
Kolovrat,7782453,🥇 Neuaufsteher 🥇,12806,11741101,1267,4502882102,873756
vitya,4578438,,,0,0,4484871271,1231836
Leonidas09,3084698,Kommune,5397,16702223,574,4468871546,632560
Det Medwed,3073300,Fluffige Mammuts🦣🦣,7139,9245665,616,4456522137,982577
Agrippa 727 der Tapfere,9542421,nur so,3050,12161889,769,4453453014,958810
mo1973,7142904,Knights of Asgard,6,7007425,762,4425105713,976972
Anastasius 78,6458932,Abstellgleis 2,25514,9667552,585,4416941990,862860
Battle Cat 75,9253191,FunFighters,3537,13930543,568,4414482986,705505
Hans der 3,8844497,🕊 Grenzgänger 🕊,12219,9317144,920,4414476976,753383
Grauer Wurm,5773738,Die Flitzpiepen 🦄,20795,10008301,612,4407008268,804842
leon 288,7445549,MMM,25147,12873633,540,4369549642,590282
Gilgamesch ForgottenOne,9484155,Die Fantastischen 3,13797,24524186,968,4360070871,981250
AbueloKlaus,7689698,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,5186881,370,4357946538,753140
Xx.LEO.xX,7313397,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,13665415,452,4355563258,785259
oZZiploZZi,6352671,Outsiders,343,22892451,863,4355337824,672945
Zewam,2711028,Expendables & Falken,8004,0,0,4348802364,1265106
asqw1,2233782,Rising Crown,3780,25840148,974,4344713244,855204
wattwurm66,4316785,Die Flitzpiepen 🦄,20795,7431878,805,4338660172,939766
belladonna 66,8642092,Fluffige Mammuts🦣🦣,7139,20713870,1116,4329245784,670153
TRISTESSE,7955197,Yggdrasil,10153,11393983,1179,4328619814,796996
Icebreaker1971,2820222,🧊Ice Gilde🧊,6289,1639455,0,4327838146,770922
Casyhasy,8991313,Die Flitzpiepen 🦄,20795,2243740,45,4303952470,899743
LFCDOC der Unbarmherzige,5697281,🥇 Neuaufsteher 🥇,12806,6828546,328,4294216483,1067937
Deadpoolli,3822489,Die Flitzpiepen 🦄,20795,7340205,704,4285767253,789541
Mister X123,4397549,Next Generation,16,8744149,431,4274191016,714694
Svetik,10284923,🥇 Neuaufsteher 🥇,12806,0,0,4272652000,661670
Asmodae,3530006,Force of Nature,21629,8668974,74,4258826431,739335
gunderl,849340921,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,11759152,402,4256937863,627314
-Heidi-,9004327,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,20204199,602,4253782309,897636
Unity,9477691,XOX,25663,9044780,702,4253094072,709551
johndoe1,10345165,🥃 Havana Club 🥃,20016,35287558,814,4239824146,530799
TimeHunter,3768400,Black Phönix,17642,4811839,316,4235959906,770813
Chris8156,9719229,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,10063164,408,4207109858,791983
Thorsten aus Hamburg,3123799,Horde der Hanse,14972,4280650,197,4184952683,648499
Tööbi Valhall,8742752,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,5683389,280,4179556656,755111
El buho,8566844,Only Ronin`s,17616,10534529,679,4174594615,715792
Edmund 485 der Verwegene,8174419,Rising Crown,3780,12876960,1307,4163575902,773877
Yenkilus der 44.,8257853,Hessian Dragons,109,12226123,696,4160306756,600275
Honorius 746 der Weise,8592968,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,10697323,612,4153529525,691128
Blanka,7913583,Force of Nature,21629,822570,138,4147786335,877333
Felix .,1304842,FunFighters,3537,31417347,673,4136655997,702039
KämpferSiegfried,4738589,Outsiders,343,8015581,477,4135998690,806825
Sandy112,7352617,Weisse Rose,6843,8533538,988,4132546294,690404
Yazoo1000,3926812,Force of Nature,21629,8297460,225,4126516734,674298
pope600,2180229,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,7136953,648,4126125714,731988
Milai,9532845,Black Phönix,17642,8760920,810,4116198856,856780
Jochen dein Freund,850455917,Outsiders,343,2880340,222,4102370977,594805
DARK SLAYER FRANK,849484067,Only Ronin`s,17616,12065460,441,4096573988,627700
Joe Stoppelbart,8407475,🕊 Quo Vadis 🕊,2017,17486542,906,4090551595,726645
sodedako,9847392,ρℓαуιηg αηgєℓѕ,92,0,0,4087166422,619316
MuadDib,851160841,🐉DragonRocker🏴‍☠️,7226,15328403,597,4081897538,822811
JarodX,3079265,Rising Crown,3780,5400057,173,4072442329,807874
der-dude78,8945256,Die Spartiaten,12599,25119364,956,4063205850,652927
Arthus Seele,4388294,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,8578623,477,4055278049,881718
KingGunterius,4377509,FunFighters,3537,19956350,578,4053628388,704319
GROOT15,8497645,FunFighters,3537,9062747,727,4047276787,666547
Hugin Rabenson,850940369,Knights of Asgard,6,18718350,740,4035281834,512718
tj der große von tutles,10436333,🥇 Neuaufsteher 🥇,12806,17396851,632,4032390516,682905
Matilda 0815,5605812,,,0,0,4031588226,813887
.42.,8455357,Meerkater 🇺🇦,16471,8971727,331,4020563725,745590
serbish,2601474,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4556421,108,4009934304,619927
Franziskus der Heilige,4537553,Schwarze Engel🕊,4132,10467757,632,4002018934,722051
T4Ever,850775321,FunFighters,3537,14641380,725,3990863431,788068
= Medusa =,3630821,🕊Gorgonen🕊,4888,8016346,676,3957191190,764496
Barney Nord 2009,9314566,Outsiders,343,4935407,319,3955079986,755024
Baruch,7932655,Helden der Birne,5088,7667007,374,3940145710,548263
nikosita,850425951,Kommune,5397,2263614,75,3936985757,643977
Cynthia 264,4261226,Outsiders,343,14312481,721,3918809047,611560
Bern der Harte,4248550,Pausenraum,16248,1355570,35,3918528722,627855
Emporer of Mankind,3343993,Outsiders,343,11348586,462,3895035513,599237
Katzi.,7958496,,,0,0,3888681540,838593
Jolly Jumper,8869880,🥇 Neuaufsteher 🥇,12806,2810015,253,3886913536,856134
Bond2019,9842696,☠️NeverNight☠️,10520,11324877,473,3886346082,593860
Angus v. d. Dt. Dogge,3455485,ρℓαуιηg αηgєℓѕ,92,3246732,203,3880549046,770169
Der Herzige,4590109,Only Ronin`s,17616,16635025,1291,3878844979,694560
brundica,4959565,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3967085,160,3861978027,596928
hubulubu,852039551,Einfeld,23817,9804622,944,3855235046,500460
Frank von Sulingen,8076878,ρℓαуιηg αηgєℓѕ,92,11849817,846,3851808290,601296
Harley the Quinn,4393638,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4399436,184,3847226665,874504
Barbar28,9313350,Rising Crown,3780,16390702,626,3841916887,602776
matti1111,851693454,Einfeld,23817,10880817,1074,3833105633,502635
Lord Nickedick,6980656,Only Ronin`s,17616,6764937,175,3823545555,533085
John Glenn,9256152,,,0,0,3810082885,921990
Karl der Große 1966,9277930,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,7563788,858,3809657699,708093
GroßerRomolus,851653318,🥃 Havana Club 🥃,20016,33070543,1070,3803584776,525728
Paprikano,3185978,Fighting Porcupines,22345,1863075,114,3801297798,526373
BNK-3R,10183504,,,0,0,3796546708,1220097
Old Kampfgnom,852738541,🐉DragonRocker🏴‍☠️,7226,29940427,1157,3787075928,544421
Simunas,3218427,Kommune,5397,2435924,151,3786568448,597241
Agolfo,849192647,Seniorenheim,25608,0,0,3777975054,595308
*Iokasta*,5906364,Weisse Rose,6843,17656736,554,3775802107,624219
Baumeister-WES,9656584,FunFighters,3537,13194830,519,3770637058,484487
Calico Jack R,6323488,FunFighters,3537,1152656,205,3761994410,684422
eri60,7958153,FunFighters,3537,12765946,505,3758078928,655835
Odin der Götterpartygott,8350900,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,9282203,397,3754978944,630375
Braveheart76,8579910,Die Flitzpiepen 🦄,20795,8839685,976,3742069270,660770
Tyrchen,3846318,Knights of Asgard,6,8574477,639,3741981779,741956
Syntics,848963004,Dragon Riders,159,15875679,797,3725279228,564010
Hadrian 789 der Grausame,849302695,🐉DragonRocker🏴‍☠️,7226,6533675,258,3717646616,730127
FoE Hede,9319713,Weird Ghosts,23231,28622741,1057,3712909664,702605
Murphy001,850849696,🕊 Grenzgänger 🕊,12219,7520669,1050,3712218277,909972
holger1999,1392263,Next Generation,16,11732241,702,3697994226,787292
KingGob,851526284,Enterprise,877,10111380,621,3683079487,539146
didi koh phee,10534307,Die Arbeiter,635,10506180,792,3674151992,609695
Dünenkrieger,850878471,Black Phönix,17642,10079484,1038,3671001658,633794
HBX599,850221854,Black Phönix,17642,10008938,386,3660001459,628907
Der Sturmgesegnete 233,5897468,RELIC HUNTERS,2803,8522816,630,3652989046,635589
Phyteuma,6958607,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,873970,55,3651001801,843755
Killa Queen,849124205,Musketierchen 4.0,17389,8993842,593,3648334632,563542
Miss Erfolg,3113198,Outsiders,343,11991775,608,3640351872,728308
Schischa der Geist,850716871,FunFighters,3537,15395071,808,3626860240,746977
Buddy81,850069283,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,4249550,184,3620250461,528140
Gloria Mosca,4588777,,,0,0,3589994747,723921
Uschi die Irre,850003953,Outsiders,343,14642507,541,3586862773,745284
zam18-100-92,849922543,Outsiders,343,21458186,862,3578111990,579272
EL Feera,10295900,ρℓαуιηg αηgєℓѕ,92,17203748,1005,3566851698,771766
Alex der Forscher,4391866,Alex,25263,14352956,851,3562533957,422037
ComplexDock,8497195,Outsiders,343,5305398,296,3559927332,778615
Weltmeister,8699640,Outsiders,343,6577996,489,3556857704,518016
Arnulf 7 der Gerechte,5652436,🕊 Grenzgänger 🕊,12219,6195582,781,3552911740,816194
Pr3DaToR,7465698,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,13141491,572,3541724532,719469
Tibi*,10283615,⬆️UpGrade*,25718,15914694,1063,3541630339,493037
XtremeDE512,850102118,Die freien Völker,267,1965761,182,3528275391,443023
C0ntra,5077828,Only Ronin`s,17616,8424629,706,3510725244,670029
reimax,849241164,Die Arbeiter,635,12972481,739,3509601050,604120
Sparos von der Küste,4300380,👑 Annodazumal 👑,4103,8833777,883,3493734361,717466
Fussel70,9544921,🥇 Neuaufsteher 🥇,12806,11265264,948,3475907125,613739
Markus 355 der Erbauer,6570004,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,3170529,190,3473415019,620470
Kattegat04,7558517,Outsiders,343,10129954,538,3457940589,469798
New.Metal,849839089,,,74047,17,3456642003,579099
swim1971,5533776,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,9736366,470,3454515154,569727
ranubis,849677749,Dragon Riders,159,12231096,475,3445350329,529657
Fliedie,9204911,FunFighters,3537,11910664,638,3442018793,560891
.Theo.,7344519,Sevenheaven,6855,5034718,487,3433509369,757796
Tyr22,851003960,Spirit of Herkules,21272,12897958,1097,3420890556,544333
Hotroadcar,849495347,Rising Crown,3780,19635443,603,3416326119,528031
-Benny-,10427451,,,0,0,3411877250,745260
Serana Pestruferin,5017689,,,0,0,3411370312,855459
Graf von Burzum,2341635,Only Ronin`s,17616,2174665,130,3395713683,399402
Hottizc,849811922,Insane Guardians,18918,9962975,416,3382039219,770032
Campe,7998521,Knights of Asgard,6,5987583,202,3374390822,890050
Whats happening,4161649,,,0,0,3368542473,631393
Nikita Bensel,6169981,Black Phönix,17642,6303422,430,3366838523,554743
Bille s,3382616,⚫️ Black Pearl ⚫️,21695,10338274,568,3364984760,617655
Xerxes1903,8492287,Frei und Freundlich,11817,13744179,363,3363758780,575142
Screech,851442908,Kommune,5397,11991333,471,3359869680,403367
Madame Bea,849344045,Hamburger Hanse,8586,7944984,350,3339468459,539049
king-of-sendling,8080888,nur meine Gilde,25466,4077722,301,3337021660,507455
Sadutrail,8511621,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,22264943,608,3330024263,359852
Adama.,7531679,Black Phönix,17642,5964773,635,3327306786,573800
Akiakamai,4837431,RELIC HUNTERS,2803,12966500,1092,3325282119,751902
Deadly Mertlin,8519453,Outsiders,343,2093864,138,3316728536,743842
Pauline 28 die Weise,5433426,Rising Crown,3780,1952473,312,3310296270,704374
Bergium66,850009800,🐉DragonRocker🏴‍☠️,7226,6850682,365,3306508909,839280
Xilef13,9061054,Originals / Urlaub,12967,9573157,219,3294328727,588892
Ernstl12,8525027,🥇 Neuaufsteher 🥇,12806,17414377,846,3291650785,852234
Sparthacus,9973514,FunFighters,3537,4670698,290,3290232848,656037
Sneeker123321,2338058,Only Ronin`s,17616,7112968,357,3283639371,538728
Anton VGG König,5771649,Sachsen Fighters🇺🇦,2198,1292123,17,3283504083,539619
Flavius 138 der Erbauer,3214224,🔥 Feuersterne ⭐️,13890,1244910,47,3283359907,547229
.Sven.,6872242,für ruhige spieler,10549,3881468,110,3264359385,684429
Thorys,3746579,Ancients,12870,0,0,3263762611,712288
Norbertus2901,3371698,Frei und Freundlich,11817,4949761,496,3262508064,816811
YeHu,10385961,ZzzZzz,25679,1343775,0,3256071555,624076
Olaf der Erste,8857336,Kommune,5397,5545840,213,3246754168,481717
Yhobarbie de Kleene,850359309,Dragon Riders,159,11457591,715,3240489174,508738
Schmitty Dragon,9270559,Only Ronin`s,17616,0,0,3239083504,498240
Micro 72,1939450,,,0,0,3235233861,729093
Publiusplus,2943115,Astra 💫 Australis,20187,18155474,910,3231559845,718892
Ralph reichts,404586,Die Flitzpiepen 🦄,20795,8023593,608,3227957585,734159
Domitian 914 der Weise,10640068,D. Unerschrockenenᵁᴬ,13198,5555532,545,3221825648,662411
NewBorn Eisi,850523132,Yggdrasil,10153,8628647,494,3208928537,623808
Daniel v. Sachsen,5168024,🐍🐍Königskobra🐍🐍,24671,5420248,644,3197806184,735980
Xarree,8848009,Force of Nature,21629,283500,5,3196841160,579537
Carl.,6160819,Helden der Birne,5088,2990745,278,3195405806,695379
Mongfinn,3965587,Horde 🕊🇺🇦,3441,9477871,672,3189401650,584891
Frankieboy3,850099815,Die Flitzpiepen 🦄,20795,2928900,184,3145680348,551887
West117,852286061,Kommune,5397,3839172,143,3144469125,542239
Chris..,5583237,🥇 Neuaufsteher 🥇,12806,8976665,978,3144448299,550854
alterFreund,8213888,,,0,0,3137557102,909826
Jago der sieger,850786388,Black Phönix,17642,3626547,327,3137388981,664829
Honorius 352 der Gnädige,4640960,Die Händler,1661,5248032,305,3128745447,571564
Grognak1317,9844825,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,6979718,213,3126186958,295935
Roxana*,849786488,Only Ronin`s,17616,6752491,279,3125833806,709000
Hondo109,4292365,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,17765845,915,3114202381,552367
Leantra die Starke,4732781,𝖁𝖆𝖑𝖍𝖆𝖑𝖑𝖆,22349,1283573,131,3111702986,614124
Cofrile,5128217,,,0,0,3110640862,540335
mctim66,850221936,Insane Guardians,18918,0,0,3106943120,627798
MankeRayder,4459305,🐉DragonRocker🏴‍☠️,7226,2042145,179,3102410400,553272
Lady Miii,9879387,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,1350742,72,3099465579,470459
Cadvilla99,3376760,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,9575147,537,3098708892,476593
HiHo2,10476191,🥇 Neuaufsteher 🥇,12806,14352216,660,3092000955,612797
Dhingkis,8087623,Only Ronin`s,17616,2111419,80,3091607017,437620
Uranius die Gnädige,4801659,🐉DragonRocker🏴‍☠️,7226,18867686,661,3077643995,562179
Shaft726,9962878,Frei und Freundlich,11817,13900962,758,3070462485,575016
Darth Banee,849089349,KEIN STRESS 🏖,14466,7536912,767,3066869424,491506
King Lui der 12.,2709870,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,35209468,515,3052792236,569371
Urania 720 die Retterin,7475826,Neu-Drachenfels,11825,2555592,142,3037750352,598367
Toabme,3085527,🐉DragonRocker🏴‍☠️,7226,6028813,273,3032677163,434509
*Kriegerin*,2692003,Rising Island 🏝,8070,0,0,3028237963,719303
erich6,7977640,RELIC HUNTERS,2803,8987193,594,3012905196,586803
Fritzi61,10315869,Outsiders,343,16191307,482,3004784347,495630
Gerd der Huldvolle,850298646,ρℓαуιηg αηgєℓѕ,92,12980675,761,3003217472,532222
Asti.,7523625,Black Phönix,17642,4545871,221,3002873007,491012
Wartus the one and only,3275277,,,0,0,2991997841,918549
*Purzel*,9584083,Rising Crown,3780,1958894,93,2990586286,626146
*Inka*,850461871,FunFighters,3537,7526555,906,2987090615,790615
Gunnar Hamundarsson,849262617,Black Phönix,17642,8271070,1005,2980737390,500562
Hans der Graubart,2347105,Shadow Hunter,17937,5093087,608,2969453957,591287
Gantenkiel,9502040,,,0,0,2967869392,797853
Mellox72,7931648,,,0,0,2967467996,662944
Haethere,851504672,(Just for fun),6733,11091644,1104,2966747591,401323
RaDuVanderbau,4494167,Die Flitzpiepen 🦄,20795,11497110,837,2957804899,515398
fp99,5914236,🥇 Neuaufsteher 🥇,12806,14856774,766,2950318707,560608
Kallisto 2409 der Weiße,9727376,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,11141509,505,2937195087,458737
RenardCilius,850419882,🐉DragonRocker🏴‍☠️,7226,6808322,288,2935033859,510022
Murkelbauer,7053507,ρℓαуιηg αηgєℓѕ,92,7136517,679,2931513388,381996
Koelsch,8569817,𝕯𝖊𝖘𝖕𝖊𝖗𝖆𝖉𝖔𝖘,392,23218425,405,2924632962,608283
MonaLisa1999,10588569,🥇 Neuaufsteher 🥇,12806,16455259,877,2920199951,483285
spyro40,8854095,Rising Crown,3780,6140542,523,2919281625,543565
Incantator,5666003,Next Generation,16,5780231,361,2918733215,476301
Maria die Glorreiche 17,3314383,Next Generation,16,8896634,491,2918005138,469799
Dragen2010,7934757,🥇 Neuaufsteher 🥇,12806,9270583,1142,2915727314,508237
Bauglir,8925238,Outsiders,343,6420062,534,2912383465,339287
Goldener Schnatz,9939872,🥇 Neuaufsteher 🥇,12806,14594973,735,2912382560,460248
Hexe1667,6868884,Spirit of Herkules,21272,7074186,917,2908948144,433967
Amicus 10,848952290,𝕆𝕣𝕚𝕘𝕚𝕟𝕒𝕝𝕤,19231,10402840,1125,2906270975,438013
Lyane,851115913,Force of Nature,21629,8692723,265,2905236217,548328
tom7165,6778731,Die GEXperten,4314,9036017,308,2903858061,541845
Inquisitor 13,850540037,Black Phönix,17642,12479753,1131,2903262759,616457
infernobavaria,10123708,Rising Crown,3780,12524366,813,2900654191,1273119
4ng3l*,2692363,🐉DragonRocker🏴‍☠️,7226,1390320,0,2893642788,704513
Tamacti Jun,3609709,Spirit of Herkules,21272,9078703,413,2887427336,437277
Garhol,9733813,Hessian Dragons,109,10751670,768,2864355757,535177
